name,x,y,type
b10-1,427074.7094,6654805.174,head
b14-1,427474.4248,6655148.009,head
b15-1,427480.5444,6655184.865,head
b16-1,427409.5473,6655023.271,head
b2-1,427384.172,6655037.189,head
b22-1,427448.9305,6655144.289,head
b26,427464.3165,6655164.622,head
b29,427375.0453,6655055.461,head
b34,427436.2274,6654995.728,head
b35,427447.8493,6655002.245,head
b36,427448.6013,6654991.758,head
b37,427461.1705,6654998.421,head
b4,427473.8286,6655256.965,head
b8-2,427162.8897,6654757.235,head
b9-2,426918.374,6654803.298,head
kb1-1,427405.5922,6654945.846,head
kb4-3,427230.0951,6654957.899,head
ni1403-2,427470.6311,6655011.176,head
ni1404-1,427459.9492,6655157.407,head
ni1405-1,427471.1525,6655034.163,head
ni1407-2,427437.2821,6655127.924,head
ni1408-1,427428.4688,6655136.123,head
ni1409-1,427449.9797,6655114.637,head
ni1410-1,427463.3347,6655130.332,head
ni1412-1,427463.5219,6655006.338,head
ni15-o1,427391.9882,6654917.318,head
ni15-o44,427385.2721,6654938.189,head
ni15-o46,427316.2934,6655000.158,head
ni15-o47,427294.9467,6654962.316,head
ni15-o48,427166.6707,6654946.617,head
ni1501-3,427363.3054,6655084.605,head
ni1502-2,427443.73,6655191.772,head
ni1504-2,427453.4974,6655181.552,head
ni1505-2,427443.1633,6655166.787,head
ni1506-1,427445.9575,6655157.724,head
ni1507-2,427419.0189,6655160.335,head
ni1601-3,427409.6239,6654966.564,head
ni1602-1,427348.7754,6654928.947,head
ni1603-1,427358.2915,6654951.73,head
ni1605-1,427474.8327,6655020.08,head
ni1606-1,427309.9799,6654937.827,head
ni1607-2,427397.497,6654916.843,head
ni1608-1,427394.2267,6654904.918,head
ni1609-2,427400.3365,6654909.779,head
ni1610-2,427398.2937,6654913.175,head
ni1611-1,427404.4066,6654919.496,head
ni1612-1,427372.4891,6654916.41,head
ni1613-1,427359.1474,6654950.23,head
ni1701-1,427393.1573,6654945.939,head
ni1702-1,427387.3423,6654954.07,head
ni1703-1,427397.7917,6654929.835,head
ni1704-1,427191.5946,6654964.51,head
ni1705-1,427215.4444,6654957.97,head
ni1706-1,427250.0382,6654940.186,head
ni1707-1,427229.096,6654942.661,head
ni1708-1,427447.8734,6654977.695,head
ni1709-1,427488.91,6655046.459,head
ni1711-1,427468.7492,6654985.521,head
ni1712-1,427416.8257,6654931.403,head
ni1801-1,427199.3878,6654953.654,head
ni1802-1,427206.0186,6654952.834,head
ni1803-1,427211.6349,6654950.927,head
ni1804-1,427218.5725,6654949.079,head
ni15-o1-stg,427391.9882,6654917.318,stage
ni15-o44-stg,427385.2721,6654938.189,stage
ni15-o46-stg,427316.2934,6655000.158,stage
ni15-o47-stg,427294.9467,6654962.316,stage
ni15-o48-stg,427166.6707,6654946.617,stage
gage-1,427070.614,6654948.935,inflow
gage-2,427030.76,6654934.26,inflow
