Namn,N,E,Prov,Typ,Datum,Tetrachlorethylen
S7,6656871.57,160822.13,S7,Grab sample,2019-10-15,2.3
S9,6656905.5,160674.39,S9,Grab sample,2019-10-15,4.3
GP1802,6656923.71,160810.8,GP1802_1-2,Geoprobe,2018-11-09,480
GP1802,6656923.71,160810.8,GP1802_2-3,Geoprobe,2018-11-09,1200
GP1802,6656923.71,160810.8,GP1802_4-5,Geoprobe,2018-11-09,3600
GP1802,6656923.71,160810.8,GP1802_5-6,Geoprobe,2018-11-09,7000
GP1802,6656923.71,160810.8,GP1802_7-8,Geoprobe,2018-11-09,4300
GP1803,6656911.8,160824,GP1803_2-1,Geoprobe,2018-11-09,3600
GP1803,6656911.8,160824,GP1803_3-2,Geoprobe,2018-11-09,7300
GP1803,6656911.8,160824,GP1803_4-3,Geoprobe,2018-11-09,3700
GP1803,6656911.8,160824,GP1803_5-4,Geoprobe,2018-11-09,3200
GP1803,6656911.8,160824,GP1803_6-5,Geoprobe,2018-11-09,2300
GP1803,6656911.8,160824,GP1803_8-7,Geoprobe,2018-11-09,3200
GP1804,6656903.98,160833.06,GP1804_3-4,Geoprobe,2018-11-09,780
GP1804,6656903.98,160833.06,GP1804_4-5,Geoprobe,2018-11-09,2100
GP1804,6656903.98,160833.06,GP1804_5-6,Geoprobe,2018-11-09,1700
GP1804,6656903.98,160833.06,GP1804_7-8,Geoprobe,2018-11-09,1600
GP1804,6656903.98,160833.06,GP1804_3-2,Geoprobe,2018-11-09,720
GP1804,6656903.98,160833.06,GP1804_2-1,Geoprobe,2018-11-09,870
GP1805,6656923.452,160805.061,GP1805_2-3,Geoprobe,2018-11-09,2800
GP1805,6656923.452,160805.061,GP1805_3-4,Geoprobe,2018-11-09,6300
GP1805,6656923.452,160805.061,GP1805_4-5,Geoprobe,2018-11-09,1500
GP1805,6656923.452,160805.061,GP1805_5-6,Geoprobe,2018-11-09,400
GP1805,6656923.452,160805.061,GP1805_6-7,Geoprobe,2018-11-09,450
GP1805,6656923.452,160805.061,GP1805_8-9,Geoprobe,2018-11-09,250
S1,6657067.28,161138.56,S1,Grab sample,2018-11-09,"<0,020"
S10,6657004.37,160068.97,S10,Grab sample,2018-11-09,35
S2,6656872.39,161069.66,S2,Grab sample,2018-11-09,"<0,020"
S3,6656896.88,160992.98,S3,Grab sample,2018-11-09,8.1
S3a,6656921.23,160966.01,S3a,Grab sample,2018-11-09,18
S4,6656924.68,160946.41,S4,Grab sample,2018-11-09,16
S4 GS,6656924.68,160946.41,S4 GS,Grab sample,2018-11-09,21
S4a,6656941.73,160930.83,S4a,Grab sample,2018-11-09,12
S5,6656940.82,160906.92,S5,Grab sample,2018-11-09,30
S6,6656898.71,160879.98,S6,Grab sample,2018-11-09,14
S6 GS,6656898.71,160879.98,S6 GS,Grab sample,2018-11-09,16
S7,6656871.57,160822.13,S7,Grab sample,2018-11-09,18
S8a,6656903.75,160767.94,S8a,Grab sample,2018-11-09,43
S8a N10,6656920.83,160801.93,S8a N10,Grab sample,2018-11-09,960
S8B,6656907.91,160720.22,S8B,Grab sample,2018-11-09,39
S9,6656905.5,160674.39,S9,Grab sample,2018-11-09,44
S9 GS,6656905.5,160674.39,S9 GS,Grab sample,2018-11-09,44
S7,6656871.57,160822.13,S7,Grab sample,2018-11-01,12
S9,6656905.5,160674.39,S9,Grab sample,2018-11-01,30
U3-100_3,6656897.054,160788.0231,U3-100_3,Grab sample,2018-05-16,17
U3-101_3,6656896.862,160788.85,U3-101_3,Grab sample,2018-05-16,19
U3-102_3,6656896.752,160789.79,U3-102_3,Grab sample,2018-05-16,18
U3-103_3,6656896.632,160790.73,U3-103_3,Grab sample,2018-05-16,18
U3-104_3,6656896.522,160791.68,U3-104_3,Grab sample,2018-05-16,18
U3-105_3,6656896.412,160792.62,U3-105_3,Grab sample,2018-05-16,35
U3-106_3,6656896.302,160793.56,U3-106_3,Grab sample,2018-05-16,22
U3-107_3,6656895.977,160794.592,U3-107_3,Grab sample,2018-05-16,24
U3-108_3,6656895.645,160795.6561,U3-108_3,Grab sample,2018-05-16,20
U3-109_3,6656895.408,160796.5361,U3-109_3,Grab sample,2018-05-16,20
U3-110_3,6656895.048,160797.4161,U3-110_3,Grab sample,2018-05-16,18
U3-111_3,6656894.678,160798.2961,U3-111_3,Grab sample,2018-05-16,24
U3-112_3,6656894.318,160799.1661,U3-112_3,Grab sample,2018-05-16,16
