sample_site,x,y,sample_comment,sample_type,date,pce_µg_l
NI15-Ö16-biflöde,427322.3428,6654993.542,NI15-Ö16-tilløb,Grab sample,2016-06-17,8.2
NI15-Ö16-biflöde,427322.3428,6654993.542,NI15-Ö16-biflöde,Grab sample,2017-05-15,16
NI15-Ö26,427537.7772,6655098.968,NI15-Ö26,Grab sample,2017-06-28,<0.020
NI15-Ö26,427537.7772,6655098.968,#1 - örback opstrøm (v NI-1),Grab sample,2017-05-15,"<0,020"
NI15-Ö26,427537.7772,6655098.968,NI15-Ö26,Grab sample,2016-11-21,"<0,020"
NI15-Ö26,427537.7772,6655098.968,NI15-Ö26,Grab sample,2016-09-13,"<0,020"
NI15-Ö26,427537.7772,6655098.968,NI15-Ö26,Grab sample,2016-06-17,"<0,020"
NI15-Ö26,427537.7772,6655098.968,NI15-Ö26,Grab sample,2016-02-26,"<0,020"
NI15-Ö26,427537.7772,6655098.968,NI15-Ö26,Grab sample,2015-12-01,"<0,020"
NI15-Ö27,427496.8086,6655035.316,NI15-Ö27,Grab sample,2016-06-17,"<0,020"
NI15-Ö27,427496.8086,6655035.316,NI15-Ö27,Grab sample,2015-12-01,"<0,020"
NI15-Ö28,427464.563,6654906.503,NI15-Ö28,Grab sample,2016-06-17,0.024
NI15-Ö28,427464.563,6654906.503,NI15-Ö28,Grab sample,2017-06-28,<0.020
NI15-Ö28,427464.563,6654906.503,#2 - örback (v NI-4),Grab sample,2017-05-15,"<0,020"
NI15-Ö28,427464.563,6654906.503,NI15-Ö28,Grab sample,2016-11-21,"<0,020"
NI15-Ö28,427464.563,6654906.503,NI15-Ö28,Grab sample,2016-09-13,"<0,020"
NI15-Ö28,427464.563,6654906.503,NI15-Ö28,Grab sample,2016-02-26,"<0,020"
NI15-Ö28,427464.563,6654906.503,NI15-Ö28,Grab sample,2015-12-01,"<0,020"
NI15-Ö28A,427439.6321,6654902.228,NI15-Ö28A,Grab sample,2017-06-28,<0.020
NI15-Ö28A,427439.6321,6654902.228,NI15-Ö28A,Grab sample,2017-05-15,"<0,020"
NI15-Ö28A,427439.6321,6654902.228,NI15-Ö28A,Grab sample,2016-11-21,"<0,020"
NI15-Ö28A,427439.6321,6654902.228,NI15-Ö28A,Grab sample,2016-09-13,"<0,020"
NI15-Ö28A,427439.6321,6654902.228,NI15-Ö28A,Grab sample,2016-02-26,"<0,020"
NI15-Ö28B,427439.6547,6654903.228,NI15-Ö28B,Grab sample,2016-11-21,"<0,020"
NI15-Ö29,427416.7099,6654904.258,NI15-Ö29,Grab sample,2017-08-29,11
NI15-Ö29,427416.7099,6654904.258,NI15-Ö29,Grab sample,2015-12-01,0.13
NI15-Ö29,427416.7099,6654904.258,NI15-Ö29,Grab sample,2017-06-28,0.052
NI15-Ö29,427416.7099,6654904.258,NI15-Ö29,Grab sample,2016-06-17,0.048
NI15-Ö29,427416.7099,6654904.258,NI15-Ö29,Grab sample,2017-01-30,0.029
NI15-Ö29,427416.7099,6654904.258,NI15-Ö29,Grab sample,2017-05-15,"<0,020"
NI15-Ö29,427416.7099,6654904.258,NI15-Ö29,Grab sample,2016-11-21,"<0,020"
NI15-Ö29,427416.7099,6654904.258,NI15-Ö29,Grab sample,2016-09-13,"<0,020"
NI15-Ö29,427416.7099,6654904.258,NI15-Ö29,Grab sample,2016-02-26,"<0,020"
NI15-Ö30,427388.9266,6654933.106,NI15-Ö30 28/8/17,Grab sample,2017-08-28,7.9
NI15-Ö30,427388.9266,6654933.106,NI15-Ö30,Grab sample,2016-02-26,6.7
NI15-Ö30,427388.9266,6654933.106,#64 - NI15-Ö9,Grab sample,2017-05-15,6.3
NI15-Ö30,427388.9266,6654933.106,NI15-Ö30,Grab sample,2017-06-28,5.5
NI15-Ö30,427388.9266,6654933.106,NI15-Ö30,Grab sample,2016-11-21,4.7
NI15-Ö30,427388.9266,6654933.106,NI15-Ö30,Grab sample,2016-09-13,4.4
NI15-Ö30,427388.9266,6654933.106,NI15-Ö30,Grab sample,2017-01-30,2.6
NI15-Ö30,427388.9266,6654933.106,NI15-Ö30,Grab sample,2016-06-17,12
NI15-Ö30,427388.9266,6654933.106,NI15-Ö30 29/8/17,Grab sample,2017-08-29,11
NI15-Ö30,427388.9266,6654933.106,NI15-Ö30,Grab sample,2015-12-01,1.2
NI15-Ö31,427342.6592,6654961.713,NI15-Ö31,Grab sample,2017-01-30,8.4
