name,x,y,zone,kh,kv
ppcond0001,426900,6654790,1,86.4,8.64
ppcond0002,426900,6654830,1,86.4,8.64
ppcond0003,426900,6654870,1,86.4,8.64
ppcond0004,426900,6654890,1,86.4,8.64
ppcond0005,426906.157,6654909.938,1,86.4,8.64
ppcond0006,426940,6654750,1,86.4,8.64
ppcond0007,426940,6654790,1,86.4,8.64
ppcond0008,426940,6654830,1,86.4,8.64
ppcond0009,426940,6654870,1,86.4,8.64
ppcond0010,426940,6654910,1,86.4,8.64
ppcond0011,426960,6654910,1,86.4,8.64
ppcond0012,426960,6654950,1,86.4,8.64
ppcond0013,426980,6654750,1,86.4,8.64
ppcond0014,426980,6654790,1,86.4,8.64
ppcond0015,426980,6654830,1,86.4,8.64
ppcond0016,426980,6654870,1,86.4,8.64
ppcond0017,426980,6654910,1,86.4,8.64
ppcond0018,426980,6654950,1,86.4,8.64
ppcond0019,426980,6654970,1,86.4,8.64
ppcond0020,427000,6654910,1,86.4,8.64
ppcond0021,427000,6654950,1,86.4,8.64
ppcond0022,427000,6654990,1,86.4,8.64
ppcond0023,427020,6654750,1,86.4,8.64
ppcond0024,427020,6654790,1,86.4,8.64
ppcond0025,427020,6654830,1,86.4,8.64
ppcond0026,427020,6654870,1,86.4,8.64
ppcond0027,427020,6654910,1,86.4,8.64
ppcond0028,427020,6654950,1,86.4,8.64
ppcond0029,427020,6654970,1,86.4,8.64
ppcond0030,427040,6654910,1,86.4,8.64
ppcond0031,427040,6654990,1,86.4,8.64
ppcond0032,427040,6655030,1,86.4,8.64
ppcond0033,427060,6654750,1,86.4,8.64
ppcond0034,427060,6654790,1,86.4,8.64
ppcond0035,427060,6654830,1,86.4,8.64
ppcond0036,427060,6654870,1,86.4,8.64
ppcond0037,427060,6654910,1,86.4,8.64
ppcond0038,427060,6654970,1,86.4,8.64
ppcond0039,427080,6654930,1,86.4,8.64
ppcond0040,427080,6654990,1,86.4,8.64
ppcond0041,427080,6655030,1,86.4,8.64
ppcond0042,427100,6654750,1,86.4,8.64
ppcond0043,427100,6654790,1,86.4,8.64
ppcond0044,427100,6654830,1,86.4,8.64
ppcond0045,427100,6654870,1,86.4,8.64
ppcond0046,427100,6654910,1,86.4,8.64
ppcond0047,427100,6654930,1,86.4,8.64
ppcond0048,427100,6654970,1,86.4,8.64
ppcond0049,427453.2856,6655146.7,1,86.4,8.64
ppcond0050,427120,6654930,1,86.4,8.64
ppcond0051,427120,6654970,1,86.4,8.64
ppcond0052,427120,6654990,1,86.4,8.64
ppcond0053,427120,6655030,1,86.4,8.64
ppcond0054,427140,6654750,1,86.4,8.64
ppcond0055,427140,6654790,1,86.4,8.64
ppcond0056,427140,6654830,1,86.4,8.64
ppcond0057,427140,6654870,1,86.4,8.64
ppcond0058,427140,6654910,1,86.4,8.64
ppcond0059,427140,6654930,1,86.4,8.64
ppcond0060,427140,6654970,1,86.4,8.64
ppcond0061,427160,6654930,1,86.4,8.64
ppcond0062,427160,6654970,1,86.4,8.64
ppcond0063,427160,6654990,1,86.4,8.64
ppcond0064,427160,6655010,1,86.4,8.64
ppcond0065,427160,6655050,1,86.4,8.64
ppcond0066,427180,6654750,1,86.4,8.64
ppcond0067,427180.6615,6654778.599,1,86.4,8.64
ppcond0068,427180,6654810,1,86.4,8.64
ppcond0069,427180,6654850,1,86.4,8.64
ppcond0070,427180,6654910,1,86.4,8.64
ppcond0071,427180,6654970,1,86.4,8.64
ppcond0072,427472.3393,6655011.661,1,86.4,8.64
ppcond0073,427200,6654890,1,86.4,8.64
ppcond0074,427200,6654910,1,86.4,8.64
ppcond0075,427200,6654970,1,86.4,8.64
ppcond0076,427200,6654990,1,86.4,8.64
ppcond0077,427200,6655010,1,86.4,8.64
ppcond0078,427467.2777,6655008.939,1,86.4,8.64
ppcond0079,427200,6655050,1,86.4,8.64
ppcond0080,427473.1729,6655027.162,1,86.4,8.64
ppcond0081,427200,6655090,1,86.4,8.64
ppcond0082,427220,6654750,1,86.4,8.64
ppcond0083,427219.3385,6654777.938,1,86.4,8.64
ppcond0084,427220,6654810,1,86.4,8.64
ppcond0085,427220,6654850,1,86.4,8.64
ppcond0086,427220,6654890,1,86.4,8.64
ppcond0087,427224.3656,6654952.778,1,86.4,8.64
ppcond0088,427220,6654970,1,86.4,8.64
ppcond0089,427451.6432,6655158.564,1,86.4,8.64
ppcond0090,427456.074,6655004.495,1,86.4,8.64
ppcond0091,427448.2026,6654997.19,1,86.4,8.64
ppcond0092,427442.7588,6655120.983,1,86.4,8.64
ppcond0093,427429.7887,6655163.031,1,86.4,8.64
ppcond0094,427462.4791,6655002.373,1,86.4,8.64
ppcond0095,427240,6654890,1,86.4,8.64
ppcond0096,427240,6654950,1,86.4,8.64
ppcond0097,427240,6654970,1,86.4,8.64
