time,B9-2,B10-2,B12-1,B16-1,B2-1,B22-1,B27,B29,KB1-1,KB4-3,NI1301-1,NI1302-1,NI1403-1,NI1405-1,NI1407-1,NI1408-1,NI1409-1,NI1410-1,NI1411-1,NI1412-1,NI1413-1,NI1501-1,NI1502-2,NI1503-2,NI1504-2,NI1505-1,NI1506-1,NI15-O1,NI15-O44,NI15-O46,NI15-O47,NI15-O48,NI1601-1,NI1602-1,NI1603-1,NI1605-1,NI1606-1,NI1607-1,NI1608-1,NI1609-2,NI1610-2,NI1611-1,NI1612-1,NI1613-1,NI1703-1,NI1704-1,NI1705-1,NI1712-1,NI1801-1,NI1802-1,NI1803-1,NI1804-1,B9-4,B10-4,B13-1,B14-1,B15-1,B20-1,B21-1,B2-2,B22-2,B26,B35,B36,B37,B8-1,KB4-4,NI1301-2,NI1302-2,NI1401-1,NI1402-1,NI1404-1,NI1407-2,NI1408-2,NI1409-2,NI1410-2,NI1411-2,NI1413-2,NI1501-2,NI1505-2,NI1506-2,NI1507-2,NI1601-2,NI1604-1,NI1606-2,NI1607-2,NI1608-2,NI1703-2,NI1706-1,NI1709-1,NI1801-3,NI1803-3,NI1804-3,B9-5,B10-5,B16-2,B19-4,B21-3,B22-4,B2-3,B30,B34,B4,B8-2,NI1301-3,NI1302-3,NI1401-2,NI1402-2,NI1403-2,NI1404-2,NI1405-2,NI1406-1,NI1407-3,NI1408-3,NI1409-3,NI1410-3,NI1411-3,NI1412-3,NI1413-3,NI1501-3,NI1502-3,NI1503-3,NI1504-3,NI1505-3,NI1506-3,NI1507-3,NI1601-3,NI1602-2,NI1603-2,NI1604-3,NI1605-3,NI1606-3,NI1607-3,NI1608-3,NI1609-3,NI1612-2,NI1701-1,NI1702-1,NI1704-2,NI1705-2,NI1706-2,NI1707-1,NI1708-1,NI1711-1
1.000000000000,133.6144117,133.9273594,139.1324825,137.4105352,137.1686022,139.0327154,139.2758899,137.2043396,136.9546325,135.1373479,139.2943792,139.1371547,138.2764029,138.3926077,138.7169457,138.6995458,138.7489261,139.0625292,139.2265045,138.1489065,137.9744207,137.3492698,139.4802071,139.5669344,139.4862873,139.1911725,139.1283645,136.6909902,136.5969460,135.5269606,135.2180730,134.2870675,137.1080898,136.1036521,136.2103000,138.3697849,135.5761515,136.7313563,136.7110965,136.7336741,136.7627979,136.8733871,136.4628595,136.2276429,136.7854066,134.8541265,135.0237820,137.1201553,134.8012221,134.8393349,134.8873839,134.9672641,133.6236761,133.9303861,139.3736415,139.4278641,139.8727675,139.2085678,139.2366328,137.2148701,139.0346594,139.4451174,137.9131472,137.8828778,138.0677727,134.1484110,135.1314409,139.3289093,139.1532225,139.0820384,139.1906316,139.3231063,138.7052150,138.6839493,138.7419864,139.0716475,139.2553206,137.9785936,137.3760124,139.2042270,139.1361584,138.8039589,137.1257863,138.0480111,135.5977600,136.8012816,136.7990077,136.8291399,135.1129439,138.7675136,134.8360460,134.9084486,134.9738095,133.6507297,133.9456807,137.5074824,138.3584671,139.2167503,139.0069537,137.3193188,137.3024903,137.7372146,140.6347691,134.1882544,139.3197383,139.1263685,139.0478345,139.1701062,138.2978734,139.3150663,138.4004634,139.0812487,138.7019661,138.6811576,138.7313108,139.0364281,139.2305803,138.1747030,138.0157571,137.4458232,139.4994921,139.5901057,139.5126551,139.1934846,139.1151046,138.7809832,137.1572512,136.1960264,136.3938981,138.0841486,138.3904697,135.7096088,136.8857262,136.8885032,136.9290977,136.5854907,136.8567003,136.8035403,134.9743051,135.1049909,135.1676774,135.0495254,137.8332509,138.1621420
31.41666666667,133.6144125,133.9273605,139.1324995,137.4105468,137.1686130,139.0327325,139.2759066,137.2043507,136.9546378,135.1373494,139.2943961,139.1371719,138.2764172,138.3926225,138.7169622,138.6995621,138.7489426,139.0625460,139.2265215,138.1489204,137.9744334,137.3492815,139.4802212,139.5669484,139.4863023,139.1911888,139.1283813,136.6909912,136.5969471,135.5269620,135.2180738,134.2870683,137.1080973,136.1036538,136.2103014,138.3697995,135.5761528,136.7313576,136.7110978,136.7336753,136.7627994,136.8733898,136.4628612,136.2276443,136.7854090,134.8541282,135.0237836,137.1201605,134.8012236,134.8393363,134.8873854,134.9672655,133.6236769,133.9303872,139.3736581,139.4278803,139.8727814,139.2085842,139.2366498,137.2148810,139.0346765,139.4451337,137.9131604,137.8828905,138.0677863,134.1484124,135.1314425,139.3289261,139.1532397,139.0820555,139.1906487,139.3231231,138.7052315,138.6839655,138.7420028,139.0716643,139.2553375,137.9786064,137.3760241,139.2042433,139.1361752,138.8039743,137.1257940,138.0480245,135.5977615,136.8012842,136.7990100,136.8291433,135.1129450,138.7675287,134.8360476,134.9084502,134.9738109,133.6507311,133.9456822,137.5074943,138.3584818,139.2167672,139.0069708,137.3193301,137.3025014,137.7372270,140.6347774,134.1882560,139.3197549,139.1263856,139.0478516,139.1701232,138.2978880,139.3150829,138.4004783,139.0812657,138.7019826,138.6811738,138.7313273,139.0364448,139.2305971,138.1747172,138.0157703,137.4458351,139.4995062,139.5901197,139.5126701,139.1935008,139.1151214,138.7809984,137.1572595,136.1960294,136.3939025,138.0841624,138.3904845,135.7096111,136.8857307,136.8885072,136.9291021,136.5854941,136.8567062,136.8035463,134.9743068,135.1049932,135.1676794,135.0495275,137.8332631,138.1621554
61.83333333333,133.6144125,133.9273606,139.1325011,137.4105479,137.1686140,139.0327342,139.2759082,137.2043518,136.9546382,135.1373496,139.2943977,139.1371735,138.2764185,138.3926239,138.7169638,138.6995637,138.7489442,139.0625476,139.2265231,138.1489216,137.9744345,137.3492827,139.4802227,139.5669499,139.4863038,139.1911903,139.1283829,136.6909913,136.5969472,135.5269622,135.2180739,134.2870684,137.1080980,136.1036540,136.2103015,138.3698009,135.5761529,136.7313578,136.7110980,136.7336754,136.7627995,136.8733901,136.4628613,136.2276444,136.7854092,134.8541283,135.0237837,137.1201610,134.8012237,134.8393365,134.8873855,134.9672656,133.6236770,133.9303873,139.3736596,139.4278819,139.8727828,139.2085858,139.2366514,137.2148820,139.0346781,139.4451352,137.9131615,137.8828915,138.0677875,134.1484125,135.1314426,139.3289276,139.1532412,139.0820571,139.1906503,139.3231246,138.7052330,138.6839671,138.7420044,139.0716659,139.2553391,137.9786075,137.3760253,139.2042448,139.1361768,138.8039758,137.1257947,138.0480256,135.5977616,136.8012845,136.7990103,136.8291436,135.1129451,138.7675302,134.8360477,134.9084503,134.9738111,133.6507311,133.9456823,137.5074953,138.3584829,139.2167686,139.0069722,137.3193311,137.3025024,137.7372280,140.6347783,134.1882562,139.3197563,139.1263870,139.0478530,139.1701246,138.2978891,139.3150843,138.4004796,139.0812671,138.7019840,138.6811752,138.7313287,139.0364463,139.2305985,138.1747184,138.0157714,137.4458362,139.4995075,139.5901210,139.5126714,139.1935022,139.1151228,138.7809998,137.1572601,136.1960296,136.3939028,138.0841635,138.3904857,135.7096113,136.8857311,136.8885075,136.9291024,136.5854944,136.8567066,136.8035468,134.9743069,135.1049933,135.1676795,135.0495276,137.8332640,138.1621565
92.25000000000,133.6144125,133.9273606,139.1325012,137.4105480,137.1686141,139.0327343,139.2759083,137.2043519,136.9546383,135.1373496,139.2943978,139.1371736,138.2764186,138.3926240,138.7169639,138.6995638,138.7489443,139.0625477,139.2265232,138.1489217,137.9744346,137.3492827,139.4802228,139.5669500,139.4863039,139.1911904,139.1283830,136.6909913,136.5969472,135.5269622,135.2180739,134.2870684,137.1080980,136.1036540,136.2103015,138.3698009,135.5761529,136.7313578,136.7110980,136.7336754,136.7627995,136.8733901,136.4628613,136.2276444,136.7854092,134.8541283,135.0237837,137.1201610,134.8012237,134.8393365,134.8873855,134.9672656,133.6236770,133.9303873,139.3736597,139.4278820,139.8727829,139.2085858,139.2366515,137.2148821,139.0346781,139.4451352,137.9131616,137.8828916,138.0677875,134.1484125,135.1314426,139.3289277,139.1532413,139.0820571,139.1906503,139.3231247,138.7052331,138.6839672,138.7420045,139.0716660,139.2553391,137.9786075,137.3760253,139.2042449,139.1361768,138.8039759,137.1257947,138.0480257,135.5977616,136.8012845,136.7990103,136.8291436,135.1129451,138.7675302,134.8360478,134.9084503,134.9738111,133.6507311,133.9456824,137.5074954,138.3584830,139.2167687,139.0069723,137.3193311,137.3025025,137.7372280,140.6347783,134.1882562,139.3197564,139.1263871,139.0478531,139.1701247,138.2978892,139.3150844,138.4004797,139.0812672,138.7019841,138.6811753,138.7313288,139.0364463,139.2305986,138.1747184,138.0157714,137.4458362,139.4995075,139.5901211,139.5126715,139.1935023,139.1151229,138.7809999,137.1572602,136.1960296,136.3939028,138.0841635,138.3904858,135.7096113,136.8857311,136.8885075,136.9291024,136.5854944,136.8567066,136.8035468,134.9743070,135.1049933,135.1676795,135.0495276,137.8332641,138.1621565
122.6666666667,133.6144126,133.9273606,139.1325013,137.4105480,137.1686141,139.0327343,139.2759084,137.2043519,136.9546383,135.1373496,139.2943979,139.1371737,138.2764187,138.3926241,138.7169640,138.6995639,138.7489444,139.0625478,139.2265233,138.1489218,137.9744346,137.3492828,139.4802229,139.5669500,139.4863039,139.1911905,139.1283831,136.6909913,136.5969472,135.5269622,135.2180739,134.2870684,137.1080980,136.1036540,136.2103015,138.3698010,135.5761529,136.7313578,136.7110980,136.7336754,136.7627996,136.8733901,136.4628614,136.2276445,136.7854092,134.8541283,135.0237837,137.1201610,134.8012238,134.8393365,134.8873855,134.9672656,133.6236770,133.9303873,139.3736598,139.4278820,139.8727830,139.2085859,139.2366515,137.2148821,139.0346782,139.4451353,137.9131617,137.8828916,138.0677876,134.1484125,135.1314426,139.3289278,139.1532414,139.0820572,139.1906504,139.3231248,138.7052332,138.6839672,138.7420046,139.0716660,139.2553392,137.9786076,137.3760254,139.2042449,139.1361769,138.8039759,137.1257948,138.0480257,135.5977616,136.8012845,136.7990103,136.8291436,135.1129451,138.7675303,134.8360478,134.9084503,134.9738111,133.6507312,133.9456824,137.5074954,138.3584831,139.2167688,139.0069723,137.3193312,137.3025025,137.7372281,140.6347783,134.1882562,139.3197565,139.1263872,139.0478532,139.1701247,138.2978893,139.3150845,138.4004797,139.0812673,138.7019842,138.6811753,138.7313288,139.0364464,139.2305987,138.1747185,138.0157715,137.4458363,139.4995076,139.5901211,139.5126715,139.1935023,139.1151229,138.7809999,137.1572602,136.1960296,136.3939028,138.0841636,138.3904859,135.7096113,136.8857311,136.8885075,136.9291025,136.5854944,136.8567067,136.8035468,134.9743070,135.1049934,135.1676795,135.0495276,137.8332641,138.1621566
153.0833333333,133.6144126,133.9273606,139.1325014,137.4105481,137.1686142,139.0327344,139.2759085,137.2043520,136.9546383,135.1373496,139.2943980,139.1371738,138.2764187,138.3926241,138.7169640,138.6995639,138.7489445,139.0625479,139.2265233,138.1489218,137.9744347,137.3492828,139.4802229,139.5669501,139.4863040,139.1911906,139.1283832,136.6909913,136.5969472,135.5269622,135.2180739,134.2870684,137.1080981,136.1036540,136.2103015,138.3698011,135.5761529,136.7313578,136.7110980,136.7336754,136.7627996,136.8733901,136.4628614,136.2276445,136.7854092,134.8541284,135.0237837,137.1201611,134.8012238,134.8393365,134.8873855,134.9672656,133.6236770,133.9303873,139.3736599,139.4278821,139.8727830,139.2085860,139.2366516,137.2148821,139.0346783,139.4451354,137.9131617,137.8828917,138.0677876,134.1484125,135.1314427,139.3289279,139.1532414,139.0820573,139.1906505,139.3231249,138.7052332,138.6839673,138.7420046,139.0716661,139.2553393,137.9786076,137.3760254,139.2042450,139.1361770,138.8039760,137.1257948,138.0480258,135.5977616,136.8012845,136.7990103,136.8291436,135.1129451,138.7675304,134.8360478,134.9084503,134.9738111,133.6507312,133.9456824,137.5074955,138.3584831,139.2167688,139.0069724,137.3193312,137.3025026,137.7372281,140.6347784,134.1882562,139.3197565,139.1263872,139.0478532,139.1701248,138.2978893,139.3150845,138.4004798,139.0812674,138.7019842,138.6811754,138.7313289,139.0364465,139.2305987,138.1747185,138.0157715,137.4458363,139.4995076,139.5901212,139.5126716,139.1935024,139.1151230,138.7810000,137.1572602,136.1960296,136.3939028,138.0841636,138.3904859,135.7096113,136.8857312,136.8885076,136.9291025,136.5854944,136.8567067,136.8035468,134.9743070,135.1049934,135.1676795,135.0495276,137.8332642,138.1621566
183.5000000000,133.6144126,133.9273607,139.1325017,137.4105483,137.1686144,139.0327348,139.2759088,137.2043522,136.9546384,135.1373496,139.2943984,139.1371742,138.2764190,138.3926244,138.7169644,138.6995643,138.7489448,139.0625482,139.2265237,138.1489221,137.9744349,137.3492831,139.4802233,139.5669504,139.4863043,139.1911909,139.1283836,136.6909913,136.5969472,135.5269622,135.2180739,134.2870684,137.1080982,136.1036541,136.2103015,138.3698014,135.5761529,136.7313578,136.7110980,136.7336755,136.7627996,136.8733902,136.4628614,136.2276445,136.7854093,134.8541284,135.0237838,137.1201612,134.8012238,134.8393365,134.8873856,134.9672656,133.6236770,133.9303874,139.3736602,139.4278825,139.8727833,139.2085864,139.2366520,137.2148824,139.0346787,139.4451358,137.9131620,137.8828920,138.0677879,134.1484126,135.1314427,139.3289282,139.1532418,139.0820577,139.1906509,139.3231252,138.7052336,138.6839677,138.7420050,139.0716665,139.2553397,137.9786079,137.3760257,139.2042454,139.1361774,138.8039763,137.1257950,138.0480261,135.5977617,136.8012846,136.7990104,136.8291437,135.1129451,138.7675307,134.8360478,134.9084503,134.9738111,133.6507312,133.9456824,137.5074957,138.3584834,139.2167692,139.0069728,137.3193315,137.3025028,137.7372284,140.6347786,134.1882562,139.3197569,139.1263876,139.0478536,139.1701252,138.2978896,139.3150849,138.4004801,139.0812677,138.7019846,138.6811758,138.7313293,139.0364469,139.2305991,138.1747188,138.0157718,137.4458366,139.4995080,139.5901215,139.5126719,139.1935028,139.1151234,138.7810004,137.1572604,136.1960297,136.3939029,138.0841639,138.3904862,135.7096114,136.8857312,136.8885076,136.9291026,136.5854945,136.8567068,136.8035470,134.9743070,135.1049934,135.1676796,135.0495277,137.8332644,138.1621569
213.9166666667,133.6144126,133.9273607,139.1325018,137.4105484,137.1686145,139.0327349,139.2759089,137.2043523,136.9546384,135.1373496,139.2943984,139.1371742,138.2764191,138.3926245,138.7169645,138.6995644,138.7489449,139.0625483,139.2265238,138.1489222,137.9744350,137.3492831,139.4802233,139.5669505,139.4863044,139.1911910,139.1283836,136.6909913,136.5969472,135.5269622,135.2180739,134.2870684,137.1080983,136.1036541,136.2103015,138.3698014,135.5761529,136.7313578,136.7110980,136.7336755,136.7627996,136.8733902,136.4628614,136.2276445,136.7854093,134.8541284,135.0237838,137.1201612,134.8012238,134.8393365,134.8873856,134.9672656,133.6236770,133.9303874,139.3736603,139.4278825,139.8727834,139.2085864,139.2366521,137.2148824,139.0346787,139.4451358,137.9131621,137.8828920,138.0677880,134.1484126,135.1314427,139.3289283,139.1532419,139.0820577,139.1906509,139.3231253,138.7052337,138.6839677,138.7420051,139.0716666,139.2553397,137.9786080,137.3760258,139.2042454,139.1361774,138.8039764,137.1257950,138.0480261,135.5977617,136.8012846,136.7990104,136.8291437,135.1129452,138.7675308,134.8360478,134.9084504,134.9738111,133.6507312,133.9456824,137.5074958,138.3584835,139.2167693,139.0069729,137.3193315,137.3025029,137.7372285,140.6347786,134.1882562,139.3197570,139.1263877,139.0478537,139.1701253,138.2978897,139.3150850,138.4004802,139.0812678,138.7019846,138.6811758,138.7313293,139.0364469,139.2305992,138.1747189,138.0157719,137.4458366,139.4995080,139.5901216,139.5126720,139.1935028,139.1151234,138.7810004,137.1572605,136.1960297,136.3939030,138.0841640,138.3904863,135.7096114,136.8857313,136.8885077,136.9291026,136.5854945,136.8567068,136.8035470,134.9743070,135.1049934,135.1676796,135.0495277,137.8332645,138.1621570
244.3333333333,133.6144126,133.9273607,139.1325018,137.4105484,137.1686145,139.0327349,139.2759089,137.2043523,136.9546384,135.1373496,139.2943985,139.1371743,138.2764191,138.3926245,138.7169645,138.6995644,138.7489449,139.0625483,139.2265238,138.1489222,137.9744350,137.3492832,139.4802233,139.5669505,139.4863044,139.1911910,139.1283837,136.6909913,136.5969472,135.5269622,135.2180739,134.2870684,137.1080983,136.1036541,136.2103016,138.3698015,135.5761529,136.7313578,136.7110980,136.7336755,136.7627996,136.8733902,136.4628614,136.2276445,136.7854093,134.8541284,135.0237838,137.1201612,134.8012238,134.8393365,134.8873856,134.9672656,133.6236770,133.9303874,139.3736603,139.4278826,139.8727834,139.2085865,139.2366521,137.2148825,139.0346788,139.4451358,137.9131621,137.8828921,138.0677880,134.1484126,135.1314427,139.3289283,139.1532419,139.0820578,139.1906510,139.3231253,138.7052337,138.6839678,138.7420051,139.0716666,139.2553398,137.9786080,137.3760258,139.2042455,139.1361775,138.8039764,137.1257950,138.0480262,135.5977617,136.8012846,136.7990104,136.8291437,135.1129452,138.7675308,134.8360478,134.9084504,134.9738111,133.6507312,133.9456824,137.5074958,138.3584835,139.2167693,139.0069729,137.3193315,137.3025029,137.7372285,140.6347786,134.1882562,139.3197570,139.1263877,139.0478537,139.1701253,138.2978897,139.3150850,138.4004802,139.0812678,138.7019847,138.6811759,138.7313294,139.0364470,139.2305992,138.1747189,138.0157719,137.4458367,139.4995080,139.5901216,139.5126720,139.1935028,139.1151235,138.7810004,137.1572605,136.1960297,136.3939030,138.0841640,138.3904863,135.7096114,136.8857313,136.8885077,136.9291026,136.5854945,136.8567068,136.8035470,134.9743070,135.1049934,135.1676796,135.0495277,137.8332645,138.1621570
274.7500000000,133.6144126,133.9273607,139.1325019,137.4105484,137.1686145,139.0327349,139.2759090,137.2043523,136.9546385,135.1373497,139.2943985,139.1371743,138.2764192,138.3926246,138.7169645,138.6995644,138.7489450,139.0625484,139.2265238,138.1489222,137.9744350,137.3492832,139.4802234,139.5669505,139.4863045,139.1911911,139.1283837,136.6909913,136.5969472,135.5269622,135.2180739,134.2870684,137.1080983,136.1036541,136.2103016,138.3698015,135.5761529,136.7313578,136.7110980,136.7336755,136.7627996,136.8733902,136.4628614,136.2276445,136.7854093,134.8541284,135.0237838,137.1201612,134.8012238,134.8393365,134.8873856,134.9672656,133.6236770,133.9303874,139.3736604,139.4278826,139.8727834,139.2085865,139.2366521,137.2148825,139.0346788,139.4451359,137.9131621,137.8828921,138.0677880,134.1484126,135.1314427,139.3289284,139.1532420,139.0820578,139.1906510,139.3231254,138.7052337,138.6839678,138.7420051,139.0716666,139.2553398,137.9786080,137.3760258,139.2042455,139.1361775,138.8039765,137.1257950,138.0480262,135.5977617,136.8012846,136.7990104,136.8291437,135.1129452,138.7675308,134.8360478,134.9084504,134.9738111,133.6507312,133.9456824,137.5074958,138.3584836,139.2167693,139.0069729,137.3193315,137.3025029,137.7372285,140.6347786,134.1882562,139.3197570,139.1263878,139.0478538,139.1701253,138.2978897,139.3150850,138.4004802,139.0812679,138.7019847,138.6811759,138.7313294,139.0364470,139.2305993,138.1747190,138.0157719,137.4458367,139.4995081,139.5901216,139.5126720,139.1935029,139.1151235,138.7810005,137.1572605,136.1960297,136.3939030,138.0841640,138.3904863,135.7096114,136.8857313,136.8885077,136.9291026,136.5854945,136.8567069,136.8035470,134.9743070,135.1049934,135.1676796,135.0495277,137.8332645,138.1621570
