 point             x              y          zone  nugget  sill           a         hanis     bearing
 PP0000         426895.944    6654902.550       1  0.0     1.0             47.946   1.0       0.0
 PP0001         426924.228    6654934.370       1  0.0     1.0             36.651   1.0       0.0
 PP0002         426945.442    6654952.050       1  0.0     1.0             35.713   1.0       0.0
 PP0003         426980.797    6654987.400       1  0.0     1.0             47.988   1.0       0.0
 PP0004         427016.152    6655022.760       1  0.0     1.0             48.957   1.0       0.0
 PP0005         426910.086    6654902.550       1  0.0     1.0             37.203   1.0       0.0
 PP0006         426931.299    6654920.230       1  0.0     1.0             28.881   1.0       0.0
 PP0007         426941.906    6654930.830       1  0.0     1.0             26.578   1.0       0.0
 PP0008         426973.726    6654966.190       1  0.0     1.0             37.416   1.0       0.0
 PP0009         427009.081    6655001.540       1  0.0     1.0             41.418   1.0       0.0
 PP0010         427044.437    6655036.900       1  0.0     1.0             49.190   1.0       0.0
 PP0011         426924.228    6654902.550       1  0.0     1.0             32.256   1.0       0.0
 PP0012         426945.442    6654920.230       1  0.0     1.0             25.785   1.0       0.0
 PP0013         426956.048    6654930.830       1  0.0     1.0             24.405   1.0       0.0
 PP0014         426966.655    6654944.970       1  0.0     1.0             27.050   1.0       0.0
 PP0015         427002.010    6654980.330       1  0.0     1.0             37.846   1.0       0.0
 PP0016         427037.365    6655015.690       1  0.0     1.0             38.601   1.0       0.0
 PP0017         426903.015    6654867.190       1  0.0     1.0             44.553   1.0       0.0
 PP0018         426938.370    6654902.550       1  0.0     1.0             30.556   1.0       0.0
 PP0019         426966.655    6654934.370       1  0.0     1.0             24.216   1.0       0.0
 PP0020         426973.726    6654934.370       1  0.0     1.0             24.373   1.0       0.0
 PP0021         427002.010    6654966.190       1  0.0     1.0             34.050   1.0       0.0
 PP0022         427037.365    6655001.540       1  0.0     1.0             35.765   1.0       0.0
 PP0023         427072.721    6655036.900       1  0.0     1.0             47.314   1.0       0.0
 PP0024         426924.228    6654874.260       1  0.0     1.0             36.550   1.0       0.0
 PP0025         426959.584    6654909.620       1  0.0     1.0             28.740   1.0       0.0
 PP0026         426980.797    6654927.300       1  0.0     1.0             24.049   1.0       0.0
 PP0027         426991.404    6654937.900       1  0.0     1.0             24.195   1.0       0.0
 PP0028         427023.223    6654973.260       1  0.0     1.0             35.747   1.0       0.0
 PP0029         427058.579    6655008.610       1  0.0     1.0             36.406   1.0       0.0
 PP0030         426895.944    6654831.840       1  0.0     1.0             48.627   1.0       0.0
 PP0031         426931.299    6654867.190       1  0.0     1.0             36.483   1.0       0.0
 PP0032         426966.655    6654902.550       1  0.0     1.0             31.843   1.0       0.0
 PP0033         426994.939    6654934.370       1  0.0     1.0             23.536   1.0       0.0
 PP0034         427002.010    6654934.370       1  0.0     1.0             23.843   1.0       0.0
 PP0035         427030.294    6654966.190       1  0.0     1.0             33.818   1.0       0.0
 PP0036         427065.650    6655001.540       1  0.0     1.0             36.243   1.0       0.0
 PP0037         427101.005    6655036.900       1  0.0     1.0             48.126   1.0       0.0
 PP0038         426924.228    6654845.980       1  0.0     1.0             36.882   1.0       0.0
 PP0039         426959.584    6654881.340       1  0.0     1.0             36.119   1.0       0.0
 PP0040         426994.939    6654916.690       1  0.0     1.0             27.033   1.0       0.0
 PP0041         427012.617    6654930.830       1  0.0     1.0             24.205   1.0       0.0
 PP0042         427023.223    6654944.970       1  0.0     1.0             26.683   1.0       0.0
 PP0043         427058.579    6654980.330       1  0.0     1.0             33.712   1.0       0.0
 PP0044         427093.934    6655015.690       1  0.0     1.0             37.844   1.0       0.0
 PP0045         426903.015    6654810.620       1  0.0     1.0             44.414   1.0       0.0
 PP0046         426938.370    6654845.980       1  0.0     1.0             35.946   1.0       0.0
 PP0047         426973.726    6654881.340       1  0.0     1.0             35.947   1.0       0.0
 PP0048         427009.081    6654916.690       1  0.0     1.0             26.082   1.0       0.0
 PP0049         427026.759    6654930.830       1  0.0     1.0             25.006   1.0       0.0
 PP0050         427037.365    6654944.970       1  0.0     1.0             25.405   1.0       0.0
 PP0051         427072.721    6654980.330       1  0.0     1.0             33.646   1.0       0.0
 PP0052         427108.076    6655015.690       1  0.0     1.0             37.894   1.0       0.0
 PP0053         426903.015    6654796.480       1  0.0     1.0             45.368   1.0       0.0
 PP0054         426938.370    6654831.840       1  0.0     1.0             36.025   1.0       0.0
 PP0055         426973.726    6654867.190       1  0.0     1.0             36.025   1.0       0.0
 PP0056         427009.081    6654902.550       1  0.0     1.0             32.370   1.0       0.0
 PP0057         427037.365    6654934.370       1  0.0     1.0             24.709   1.0       0.0
 PP0058         427044.437    6654934.370       1  0.0     1.0             24.817   1.0       0.0
 PP0059         427055.043    6654944.970       1  0.0     1.0             24.610   1.0       0.0
 PP0060         427065.650    6654959.120       1  0.0     1.0             25.598   1.0       0.0
 PP0061         427101.005    6654994.470       1  0.0     1.0             35.888   1.0       0.0
 PP0062         427136.360    6655029.830       1  0.0     1.0             43.831   1.0       0.0
 PP0063         427171.716    6655065.180       1  0.0     1.0             48.578   1.0       0.0
 PP0064         427207.071    6655100.540       1  0.0     1.0             48.580   1.0       0.0
 PP0065         427242.426    6655135.890       1  0.0     1.0             48.578   1.0       0.0
 PP0066         427277.782    6655171.250       1  0.0     1.0             48.580   1.0       0.0
 PP0067         427313.137    6655206.600       1  0.0     1.0             48.578   1.0       0.0
 PP0068         427348.492    6655241.960       1  0.0     1.0             48.581   1.0       0.0
 PP0069         427383.848    6655277.310       1  0.0     1.0             49.707   1.0       0.0
 PP0070         426924.228    6654803.550       1  0.0     1.0             37.745   1.0       0.0
 PP0071         426959.584    6654838.910       1  0.0     1.0             36.980   1.0       0.0
 PP0072         426994.939    6654874.260       1  0.0     1.0             36.981   1.0       0.0
 PP0073         427030.294    6654909.620       1  0.0     1.0             31.512   1.0       0.0
 PP0074         427062.114    6654944.970       1  0.0     1.0             23.716   1.0       0.0
 PP0075         427072.721    6654955.580       1  0.0     1.0             23.630   1.0       0.0
