obsnme,obsval,weight,obgnme,usecol,time
hds_usecol:b10-2_time:1.0,133.3489223,0.0,hds_usecol:b10-2,b10-2,1.0
hds_usecol:b10-4_time:1.0,133.3520388,0.0,hds_usecol:b10-4,b10-4,1.0
hds_usecol:b10-5_time:1.0,133.3525449,0.0,hds_usecol:b10-5,b10-5,1.0
hds_usecol:b12-1_time:1.0,138.0251958,0.0,hds_usecol:b12-1,b12-1,1.0
hds_usecol:b13-1_time:1.0,138.2319711,0.0,hds_usecol:b13-1,b13-1,1.0
hds_usecol:b14-1_time:1.0,138.2629358,0.0,hds_usecol:b14-1,b14-1,1.0
hds_usecol:b15-1_time:1.0,138.7665621,0.0,hds_usecol:b15-1,b15-1,1.0
hds_usecol:b16-1_time:1.0,136.2854743,0.0,hds_usecol:b16-1,b16-1,1.0
hds_usecol:b16-2_time:1.0,136.269896,0.0,hds_usecol:b16-2,b16-2,1.0
hds_usecol:b19-4_time:1.0,136.7112385,0.0,hds_usecol:b19-4,b19-4,1.0
hds_usecol:b2-1_time:1.0,136.1444577,0.0,hds_usecol:b2-1,b2-1,1.0
hds_usecol:b2-2_time:1.0,136.1484183,0.0,hds_usecol:b2-2,b2-2,1.0
hds_usecol:b2-3_time:1.0,136.1514975,0.0,hds_usecol:b2-3,b2-3,1.0
hds_usecol:b20-1_time:1.0,138.1160407,0.0,hds_usecol:b20-1,b20-1,1.0
hds_usecol:b21-1_time:1.0,138.090404,0.0,hds_usecol:b21-1,b21-1,1.0
hds_usecol:b21-3_time:1.0,138.0820965,0.0,hds_usecol:b21-3,b21-3,1.0
hds_usecol:b22-1_time:1.0,137.8944311,0.0,hds_usecol:b22-1,b22-1,1.0
hds_usecol:b22-2_time:1.0,137.8751955,0.0,hds_usecol:b22-2,b22-2,1.0
hds_usecol:b22-4_time:1.0,137.8661127,0.0,hds_usecol:b22-4,b22-4,1.0
hds_usecol:b26_time:1.0,138.3345591,0.0,hds_usecol:b26,b26,1.0
