obsnme,obsval,weight,obgnme
hds_usecol:b10-2_time:1.0,133.3489223,1.0,hds_usecol:b10-2
hds_usecol:b10-4_time:1.0,133.3520388,1.0,hds_usecol:b10-4
hds_usecol:b10-5_time:1.0,133.3525449,1.0,hds_usecol:b10-5
hds_usecol:b12-1_time:1.0,138.0251958,1.0,hds_usecol:b12-1
hds_usecol:b13-1_time:1.0,138.2319711,1.0,hds_usecol:b13-1
hds_usecol:b14-1_time:1.0,138.2629358,1.0,hds_usecol:b14-1
hds_usecol:b15-1_time:1.0,138.7665621,1.0,hds_usecol:b15-1
hds_usecol:b16-1_time:1.0,136.2854743,1.0,hds_usecol:b16-1
hds_usecol:b16-2_time:1.0,136.269896,1.0,hds_usecol:b16-2
hds_usecol:b19-4_time:1.0,136.7112385,1.0,hds_usecol:b19-4
hds_usecol:b2-1_time:1.0,136.1444577,1.0,hds_usecol:b2-1
hds_usecol:b2-2_time:1.0,136.1484183,1.0,hds_usecol:b2-2
hds_usecol:b2-3_time:1.0,136.1514975,1.0,hds_usecol:b2-3
hds_usecol:b20-1_time:1.0,138.1160407,1.0,hds_usecol:b20-1
hds_usecol:b21-1_time:1.0,138.090404,1.0,hds_usecol:b21-1
hds_usecol:b21-3_time:1.0,138.0820965,1.0,hds_usecol:b21-3
hds_usecol:b22-1_time:1.0,137.8944311,1.0,hds_usecol:b22-1
hds_usecol:b22-2_time:1.0,137.8751955,1.0,hds_usecol:b22-2
hds_usecol:b22-4_time:1.0,137.8661127,1.0,hds_usecol:b22-4
hds_usecol:b26_time:1.0,138.3345591,1.0,hds_usecol:b26
hds_usecol:b27_time:1.0,138.1909819,1.0,hds_usecol:b27
hds_usecol:b29_time:1.0,136.2080306,1.0,hds_usecol:b29
hds_usecol:b30_time:1.0,136.2083833,1.0,hds_usecol:b30
hds_usecol:b34_time:1.0,136.2889372,1.0,hds_usecol:b34
hds_usecol:b35_time:1.0,136.4482754,1.0,hds_usecol:b35
hds_usecol:b36_time:1.0,136.3682318,1.0,hds_usecol:b36
hds_usecol:b37_time:1.0,136.5172484,1.0,hds_usecol:b37
hds_usecol:b4_time:1.0,139.3986351,1.0,hds_usecol:b4
hds_usecol:b8-1_time:1.0,133.6847997,1.0,hds_usecol:b8-1
hds_usecol:b8-2_time:1.0,133.6845725,1.0,hds_usecol:b8-2
hds_usecol:b9-2_time:1.0,133.1242057,1.0,hds_usecol:b9-2
hds_usecol:b9-4_time:1.0,133.1126583,1.0,hds_usecol:b9-4
hds_usecol:b9-5_time:1.0,133.1107605,1.0,hds_usecol:b9-5
hds_usecol:kb1-1_time:1.0,135.6846025,1.0,hds_usecol:kb1-1
hds_usecol:kb4-3_time:1.0,134.1905017,1.0,hds_usecol:kb4-3
hds_usecol:kb4-4_time:1.0,134.1623845,1.0,hds_usecol:kb4-4
hds_usecol:ni1301-1_time:1.0,138.1572346,1.0,hds_usecol:ni1301-1
hds_usecol:ni1301-2_time:1.0,138.1617153,1.0,hds_usecol:ni1301-2
hds_usecol:ni1301-3_time:1.0,138.1555557,1.0,hds_usecol:ni1301-3
hds_usecol:ni1302-1_time:1.0,138.0255807,1.0,hds_usecol:ni1302-1
hds_usecol:ni1302-2_time:1.0,138.0187213,1.0,hds_usecol:ni1302-2
hds_usecol:ni1302-3_time:1.0,138.0077391,1.0,hds_usecol:ni1302-3
hds_usecol:ni1401-1_time:1.0,137.9092232,1.0,hds_usecol:ni1401-1
hds_usecol:ni1401-2_time:1.0,137.8981877,1.0,hds_usecol:ni1401-2
hds_usecol:ni1402b-1_time:1.0,138.0538296,1.0,hds_usecol:ni1402b-1
hds_usecol:ni1402b-2_time:1.0,138.0449105,1.0,hds_usecol:ni1402b-2
hds_usecol:ni1403-1_time:1.0,136.6712884,1.0,hds_usecol:ni1403-1
hds_usecol:ni1403-2_time:1.0,136.6884056,1.0,hds_usecol:ni1403-2
hds_usecol:ni1404-1_time:1.0,138.1969923,1.0,hds_usecol:ni1404-1
hds_usecol:ni1404-2_time:1.0,138.1938573,1.0,hds_usecol:ni1404-2
hds_usecol:ni1405-1_time:1.0,136.8742412,1.0,hds_usecol:ni1405-1
hds_usecol:ni1405-2_time:1.0,136.8681373,1.0,hds_usecol:ni1405-2
hds_usecol:ni1406-1_time:1.0,137.9357377,1.0,hds_usecol:ni1406-1
hds_usecol:ni1407-1_time:1.0,137.5627608,1.0,hds_usecol:ni1407-1
hds_usecol:ni1407-2_time:1.0,137.5413829,1.0,hds_usecol:ni1407-2
hds_usecol:ni1407-3_time:1.0,137.5410161,1.0,hds_usecol:ni1407-3
hds_usecol:ni1408-1_time:1.0,137.5655138,1.0,hds_usecol:ni1408-1
hds_usecol:ni1408-2_time:1.0,137.5431673,1.0,hds_usecol:ni1408-2
hds_usecol:ni1408-3_time:1.0,137.5425047,1.0,hds_usecol:ni1408-3
hds_usecol:ni1409-1_time:1.0,137.5543173,1.0,hds_usecol:ni1409-1
