,sidx,idx_strs,pargp9,parval1_9,9
0,"(183, 0, 193, 258)",idx0:183_idx1:0_idx2:193_idx3:258,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000000
1,"(397, 0, 117, 210)",idx0:397_idx1:0_idx2:117_idx3:210,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000000
2,"(617, 0, 37, 100)",idx0:617_idx1:0_idx2:37_idx3:100,sfr_rhk,1.0,1.000000000000000000000000000000000000000000000000000000000000
3,"(648, 0, 23, 84)",idx0:648_idx1:0_idx2:23_idx3:84,sfr_rhk,1.0,1.00000000000000000000000000000000000000000000000000000000000
4,"(23, 0, 169, 363)",idx0:23_idx1:0_idx2:169_idx3:363,sfr_rhk,1.0,1.000000000000000000000000000000000000000000000000000000000000
5,"(470, 0, 115, 160)",idx0:470_idx1:0_idx2:115_idx3:160,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000000
6,"(342, 0, 127, 223)",idx0:342_idx1:0_idx2:127_idx3:223,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000000
7,"(673, 0, 11, 71)",idx0:673_idx1:0_idx2:11_idx3:71,sfr_rhk,1.0,1.00000000000000000000000000000000000000000000000000000000000
8,"(646, 0, 24, 85)",idx0:646_idx1:0_idx2:24_idx3:85,sfr_rhk,1.0,1.00000000000000000000000000000000000000000000000000000000000
9,"(288, 0, 152, 225)",idx0:288_idx1:0_idx2:152_idx3:225,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000000
10,"(139, 0, 178, 284)",idx0:139_idx1:0_idx2:178_idx3:284,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000000
11,"(332, 0, 127, 229)",idx0:332_idx1:0_idx2:127_idx3:229,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000000
12,"(618, 0, 36, 100)",idx0:618_idx1:0_idx2:36_idx3:100,sfr_rhk,1.0,1.000000000000000000000000000000000000000000000000000000000000
13,"(671, 0, 12, 72)",idx0:671_idx1:0_idx2:12_idx3:72,sfr_rhk,1.0,1.00000000000000000000000000000000000000000000000000000000000
14,"(99, 0, 164, 309)",idx0:99_idx1:0_idx2:164_idx3:309,sfr_rhk,1.0,1.000000000000000000000000000000000000000000000000000000000000
15,"(159, 0, 190, 276)",idx0:159_idx1:0_idx2:190_idx3:276,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000000
16,"(690, 0, 3, 62)",idx0:690_idx1:0_idx2:3_idx3:62,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000
17,"(374, 0, 115, 223)",idx0:374_idx1:0_idx2:115_idx3:223,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000000
18,"(633, 0, 31, 91)",idx0:633_idx1:0_idx2:31_idx3:91,sfr_rhk,1.0,1.00000000000000000000000000000000000000000000000000000000000
19,"(507, 0, 90, 156)",idx0:507_idx1:0_idx2:90_idx3:156,sfr_rhk,1.0,1.000000000000000000000000000000000000000000000000000000000000
20,"(513, 0, 87, 153)",idx0:513_idx1:0_idx2:87_idx3:153,sfr_rhk,1.0,1.000000000000000000000000000000000000000000000000000000000000
21,"(333, 0, 126, 229)",idx0:333_idx1:0_idx2:126_idx3:229,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000000
22,"(538, 0, 72, 143)",idx0:538_idx1:0_idx2:72_idx3:143,sfr_rhk,1.0,1.000000000000000000000000000000000000000000000000000000000000
23,"(13, 0, 172, 370)",idx0:13_idx1:0_idx2:172_idx3:370,sfr_rhk,1.0,1.000000000000000000000000000000000000000000000000000000000000
24,"(205, 0, 199, 242)",idx0:205_idx1:0_idx2:199_idx3:242,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000000
25,"(639, 0, 28, 88)",idx0:639_idx1:0_idx2:28_idx3:88,sfr_rhk,1.0,1.00000000000000000000000000000000000000000000000000000000000
26,"(31, 0, 164, 360)",idx0:31_idx1:0_idx2:164_idx3:360,sfr_rhk,1.0,1.000000000000000000000000000000000000000000000000000000000000
27,"(440, 0, 121, 182)",idx0:440_idx1:0_idx2:121_idx3:182,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000000
28,"(438, 0, 122, 183)",idx0:438_idx1:0_idx2:122_idx3:183,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000000
29,"(532, 0, 75, 146)",idx0:532_idx1:0_idx2:75_idx3:146,sfr_rhk,1.0,1.000000000000000000000000000000000000000000000000000000000000
30,"(14, 0, 171, 370)",idx0:14_idx1:0_idx2:171_idx3:370,sfr_rhk,1.0,1.000000000000000000000000000000000000000000000000000000000000
31,"(80, 0, 160, 324)",idx0:80_idx1:0_idx2:160_idx3:324,sfr_rhk,1.0,1.000000000000000000000000000000000000000000000000000000000000
32,"(306, 0, 139, 220)",idx0:306_idx1:0_idx2:139_idx3:220,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000000
33,"(563, 0, 58, 132)",idx0:563_idx1:0_idx2:58_idx3:132,sfr_rhk,1.0,1.000000000000000000000000000000000000000000000000000000000000
34,"(5, 0, 174, 376)",idx0:5_idx1:0_idx2:174_idx3:376,sfr_rhk,1.0,1.00000000000000000000000000000000000000000000000000000000000
35,"(662, 0, 17, 76)",idx0:662_idx1:0_idx2:17_idx3:76,sfr_rhk,1.0,1.00000000000000000000000000000000000000000000000000000000000
36,"(260, 0, 170, 218)",idx0:260_idx1:0_idx2:170_idx3:218,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000000
37,"(530, 0, 76, 147)",idx0:530_idx1:0_idx2:76_idx3:147,sfr_rhk,1.0,1.000000000000000000000000000000000000000000000000000000000000
38,"(12, 0, 172, 371)",idx0:12_idx1:0_idx2:172_idx3:371,sfr_rhk,1.0,1.000000000000000000000000000000000000000000000000000000000000
39,"(304, 0, 140, 221)",idx0:304_idx1:0_idx2:140_idx3:221,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000000
40,"(208, 0, 199, 239)",idx0:208_idx1:0_idx2:199_idx3:239,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000000
41,"(367, 0, 118, 219)",idx0:367_idx1:0_idx2:118_idx3:219,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000000
42,"(391, 0, 113, 212)",idx0:391_idx1:0_idx2:113_idx3:212,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000000
43,"(663, 0, 16, 76)",idx0:663_idx1:0_idx2:16_idx3:76,sfr_rhk,1.0,1.00000000000000000000000000000000000000000000000000000000000
44,"(158, 0, 190, 277)",idx0:158_idx1:0_idx2:190_idx3:277,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000000
45,"(682, 0, 7, 66)",idx0:682_idx1:0_idx2:7_idx3:66,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000
46,"(185, 0, 194, 257)",idx0:185_idx1:0_idx2:194_idx3:257,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000000
47,"(344, 0, 126, 222)",idx0:344_idx1:0_idx2:126_idx3:222,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000000
48,"(401, 0, 120, 211)",idx0:401_idx1:0_idx2:120_idx3:211,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000000
49,"(456, 0, 119, 170)",idx0:456_idx1:0_idx2:119_idx3:170,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000000
50,"(459, 0, 118, 168)",idx0:459_idx1:0_idx2:118_idx3:168,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000000
51,"(523, 0, 80, 150)",idx0:523_idx1:0_idx2:80_idx3:150,sfr_rhk,1.0,1.000000000000000000000000000000000000000000000000000000000000
52,"(30, 0, 164, 361)",idx0:30_idx1:0_idx2:164_idx3:361,sfr_rhk,1.0,1.000000000000000000000000000000000000000000000000000000000000
53,"(454, 0, 120, 171)",idx0:454_idx1:0_idx2:120_idx3:171,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000000
