 point             x              y              z          zone  nugget  sill            a_hmax         a_hmin         a_vert        ang1      ang2      ang3
 PPC0000        426900.000    6654800.000        129.505       1   0.0    1.0                  31.782         31.782          8.442   0.0       0.0       0.0
 PPC0001        426900.000    6654830.000        130.317       1   0.0    1.0                  28.800         28.800          8.547   0.0       0.0       0.0
 PPC0002        426900.000    6654860.000        131.047       1   0.0    1.0                  28.800         28.800          8.160   0.0       0.0       0.0
 PPC0003        426900.000    6654890.000        131.926       1   0.0    1.0                  31.782         31.782          8.271   0.0       0.0       0.0
 PPC0004        426930.000    6654770.000        129.347       1   0.0    1.0                  31.782         31.782          7.533   0.0       0.0       0.0
 PPC0005        426930.000    6654800.000        129.410       1   0.0    1.0                  28.800         28.800          6.738   0.0       0.0       0.0
 PPC0006        426930.000    6654830.000        130.589       1   0.0    1.0                  28.800         28.800          8.595   0.0       0.0       0.0
 PPC0007        426930.000    6654860.000        131.214       1   0.0    1.0                  28.800         28.800          6.620   0.0       0.0       0.0
 PPC0008        426930.000    6654890.000        131.937       1   0.0    1.0                  28.800         28.800          6.132   0.0       0.0       0.0
 PPC0009        426930.000    6654920.000        131.015       1   0.0    1.0                  31.782         31.782          5.775   0.0       0.0       0.0
 PPC0010        426960.000    6654740.000        129.392       1   0.0    1.0                  31.782         31.782          7.493   0.0       0.0       0.0
 PPC0011        426960.000    6654770.000        129.222       1   0.0    1.0                  28.800         28.800          6.606   0.0       0.0       0.0
 PPC0012        426960.000    6654800.000        129.331       1   0.0    1.0                  28.800         28.800          6.732   0.0       0.0       0.0
 PPC0013        426960.000    6654830.000        130.923       1   0.0    1.0                  28.800         28.800          7.536   0.0       0.0       0.0
 PPC0014        426960.000    6654860.000        131.723       1   0.0    1.0                  28.800         28.800          6.984   0.0       0.0       0.0
 PPC0015        426960.000    6654890.000        132.007       1   0.0    1.0                  28.800         28.800          6.064   0.0       0.0       0.0
 PPC0016        426960.000    6654920.000        131.193       1   0.0    1.0                  28.800         28.800          4.639   0.0       0.0       0.0
 PPC0017        426960.000    6654950.000        131.393       1   0.0    1.0                  31.782         31.782          4.983   0.0       0.0       0.0
 PPC0018        426990.000    6654710.000        129.566       1   0.0    1.0                  31.782         31.782          7.500   0.0       0.0       0.0
 PPC0019        426990.000    6654740.000        129.455       1   0.0    1.0                  28.800         28.800          6.625   0.0       0.0       0.0
 PPC0020        426990.000    6654770.000        129.281       1   0.0    1.0                  28.800         28.800          6.656   0.0       0.0       0.0
 PPC0021        426990.000    6654800.000        129.339       1   0.0    1.0                  28.800         28.800          6.758   0.0       0.0       0.0
 PPC0022        426990.000    6654830.000        131.339       1   0.0    1.0                  28.800         28.800          7.769   0.0       0.0       0.0
 PPC0023        426990.000    6654860.000        131.897       1   0.0    1.0                  28.800         28.800          7.050   0.0       0.0       0.0
