ppid	x	y	cond	bnames
1	427387.0	6655280.0	86.4	red
2	427399.0	6655280.0	86.4	red
3	427412.0	6655280.0	86.4	red
4	427426.0	6655280.0	86.4	red
5	427438.0	6655280.0	86.4	red
6	427452.0	6655280.0	86.4	red
7	427466.0	6655280.0	86.4	red
8	427479.0	6655280.0	86.4	red
9	427487.0	6655272.0	86.4	red
10	427497.0	6655263.0	86.4	red
11	427506.0	6655254.0	86.4	red
12	427514.0	6655245.0	86.4	red
13	427524.0	6655235.0	86.4	red
14	427535.0	6655224.0	86.4	red
15	427546.0	6655213.0	86.4	red
16	427557.0	6655202.0	86.4	red
17	427569.0	6655191.0	86.4	red
18	427579.0	6655180.0	86.4	red
19	427591.0	6655169.0	86.4	red
20	427600.0	6655160.0	86.4	red
21	427609.0	6655150.0	86.4	red
22	427620.0	6655139.0	86.4	red
23	427629.0	6655130.0	86.4	red
24	427629.0	6655120.0	86.4	red
25	427629.0	6655108.0	86.4	red
26	427629.0	6655108.0	86.4	yellow
27	427620.0	6655101.0	86.4	yellow
28	427609.0	6655092.0	86.4	yellow
29	427595.0	6655080.0	86.4	yellow
30	427585.0	6655067.0	86.4	yellow
31	427580.0	6655056.0	86.4	yellow
32	427574.0	6655046.0	86.4	yellow
33	427571.0	6655033.0	86.4	yellow
34	427567.0	6655016.0	86.4	yellow
35	427564.0	6655001.0	86.4	yellow
36	427562.0	6654988.0	86.4	yellow
37	427558.0	6654975.0	86.4	yellow
38	427554.0	6654963.0	86.4	yellow
39	427549.0	6654952.0	86.4	yellow
40	427543.0	6654939.0	86.4	yellow
41	427534.0	6654927.0	86.4	yellow
42	427524.0	6654913.0	86.4	yellow
43	427516.0	6654904.0	86.4	yellow
44	427508.0	6654893.0	86.4	yellow
45	427501.0	6654886.0	86.4	yellow
46	427494.0	6654877.0	86.4	yellow
47	427485.0	6654868.0	86.4	yellow
48	427475.0	6654859.0	86.4	yellow
49	427465.0	6654851.0	86.4	yellow
50	427454.0	6654842.0	86.4	yellow
51	427441.0	6654835.0	86.4	yellow
52	427430.0	6654829.0	86.4	yellow
53	427418.0	6654822.0	86.4	yellow
54	427407.0	6654815.0	86.4	yellow
55	427390.0	6654803.0	86.4	yellow
56	427379.0	6654789.0	86.4	yellow
57	427374.0	6654776.0	86.4	yellow
58	427360.0	6654762.0	86.4	yellow
59	427348.0	6654750.0	86.4	yellow
60	427335.0	6654737.0	86.4	yellow
61	427319.0	6654737.0	86.4	yellow
62	427302.0	6654737.0	86.4	yellow
63	427302.0	6654737.0	86.4	green
64	427289.0	6654737.0	86.4	green
65	427273.0	6654737.0	86.4	green
66	427254.0	6654737.0	86.4	green
67	427237.0	6654737.0	86.4	green
68	427217.0	6654737.0	86.4	green
69	427197.0	6654737.0	86.4	green
70	427179.0	6654737.0	86.4	green
71	427158.0	6654737.0	86.4	green
72	427133.0	6654737.0	86.4	green
73	427112.0	6654737.0	86.4	green
74	427090.0	6654737.0	86.4	green
75	427071.0	6654737.0	86.4	green
76	427046.0	6654737.0	86.4	green
77	427023.0	6654737.0	86.4	green
78	427000.0	6654737.0	86.4	green
79	426980.0	6654737.0	86.4	green
80	426963.0	6654737.0	86.4	green
81	426948.0	6654737.0	86.4	green
82	426940.0	6654745.0	86.4	green
83	426930.0	6654755.0	86.4	green
84	426922.0	6654763.0	86.4	green
85	426912.0	6654773.0	86.4	green
86	426899.0	6654786.0	86.4	green
87	426899.0	6654797.0	86.4	green
88	426899.0	6654812.0	86.4	green
89	426899.0	6654828.0	86.4	green
90	426899.0	6654841.0	86.4	green
91	426899.0	6654856.0	86.4	green
92	426899.0	6654873.0	86.4	green
93	426899.0	6654889.0	86.4	green
94	426899.0	6654905.0	86.4	green
95	426899.0	6654905.0	86.4	blue
96	426912.0	6654919.0	86.4	blue
97	426926.0	6654932.0	86.4	blue
98	426937.0	6654943.0	86.4	blue
99	426950.0	6654957.0	86.4	blue
100	426964.0	6654971.0	86.4	blue
101	426974.0	6654981.0	86.4	blue
102	426986.0	6654993.0	86.4	blue
103	427000.0	6655007.0	86.4	blue
104	427013.0	6655020.0	86.4	blue
105	427025.0	6655032.0	86.4	blue
106	427040.0	6655032.0	86.4	blue
107	427056.0	6655032.0	86.4	blue
108	427074.0	6655032.0	86.4	blue
109	427090.0	6655032.0	86.4	blue
110	427107.0	6655032.0	86.4	blue
111	427123.0	6655032.0	86.4	blue
112	427139.0	6655032.0	86.4	blue
113	427148.0	6655041.0	86.4	blue
114	427159.0	6655051.0	86.4	blue
115	427170.0	6655063.0	86.4	blue
116	427183.0	6655076.0	86.4	blue
117	427183.0	6655076.0	86.4	magenta
118	427197.0	6655090.0	86.4	magenta
119	427209.0	6655102.0	86.4	magenta
120	427223.0	6655115.0	86.4	magenta
121	427237.0	6655130.0	86.4	magenta
122	427251.0	6655144.0	86.4	magenta
123	427264.0	6655156.0	86.4	magenta
124	427275.0	6655168.0	86.4	magenta
125	427289.0	6655182.0	86.4	magenta
126	427300.0	6655193.0	86.4	magenta
127	427311.0	6655204.0	86.4	magenta
128	427322.0	6655215.0	86.4	magenta
129	427334.0	6655227.0	86.4	magenta
130	427346.0	6655239.0	86.4	magenta
131	427358.0	6655251.0	86.4	magenta
132	427368.0	6655261.0	86.4	magenta
133	427377.0	6655270.0	86.4	magenta
134	427387.0	6655280.0	86.4	magenta
