time,B9-2,B10-2,B12-1,B16-1,B2-1,B22-1,B27,B29,KB1-1,KB4-3,NI1301-1,NI1302-1,NI1403-1,NI1405-1,NI1407-1,NI1408-1,NI1409-1,NI1410-1,NI1411-1,NI1412-1,NI1413-1,NI1501-1,NI1502-2,NI1503-2,NI1504-2,NI1505-1,NI1506-1,NI15-O1,NI15-O44,NI15-O46,NI15-O47,NI15-O48,NI1601-1,NI1602-1,NI1603-1,NI1605-1,NI1606-1,NI1607-1,NI1608-1,NI1609-2,NI1610-2,NI1611-1,NI1612-1,NI1613-1,NI1703-1,NI1704-1,NI1705-1,NI1712-1,NI1801-1,NI1802-1,NI1803-1,NI1804-1
0.000000000000,136.2038268,136.0140513,141.6046131,138.7169472,138.5485176,141.5173677,141.8031054,138.7714170,137.4353961,135.6844140,141.8278131,141.6110547,139.6577648,140.1843490,141.0769526,141.0725654,141.1246087,141.5757567,141.7419519,139.3994845,139.0409632,139.1315819,142.0638481,142.1653696,142.0555457,141.6921310,141.6001448,136.9903164,136.8699364,135.9940424,135.4998063,134.6378788,137.7743124,136.5446899,136.4838937,139.9424442,135.9555069,136.9903164,137.2228097,137.0823566,137.0504934,137.2321513,136.9466988,136.4838937,137.0942387,135.3848170,135.5849099,137.5888442,135.3135781,135.2843924,135.3893631,135.4354718
30.41666666667,136.2254491,136.0328811,141.6196650,138.7252008,138.5580494,141.5315760,141.8183847,138.7823818,137.4395244,135.6921791,141.8423872,141.6257472,139.6627825,140.1900042,141.0906947,141.0869808,141.1367442,141.5882410,141.7555814,139.4047767,139.0459615,139.1447070,142.0814874,142.1827687,142.0721169,141.7079337,141.6154743,136.9934060,136.8729009,135.9986901,135.5036493,134.6430928,137.7793909,136.5498850,136.4873350,139.9470818,135.9606757,136.9934060,137.2273333,137.0856015,137.0537086,137.2355391,136.9513940,136.4873350,137.0974748,135.3929740,135.5929251,137.5926191,135.3210312,135.2915200,135.3966596,135.4425066
60.83333333333,136.1060565,135.9370526,141.5462206,138.6937081,138.5204881,141.4632346,141.7427330,138.7373619,137.4252453,135.6650369,141.7705400,141.5543539,139.6426203,140.1662799,141.0261648,141.0187534,141.0804639,141.5285237,141.6891869,139.3843085,139.0272123,139.0874314,141.9897421,142.0920957,141.9872336,141.6295961,141.5403921,136.9818001,136.8628954,135.9831174,135.4926206,134.6274910,137.7618393,136.5304469,136.4759824,139.9276126,135.9429030,136.9818001,137.2074450,137.0727696,137.0412786,137.2227626,136.9324563,136.4759824,137.0858549,135.3633044,135.5647601,137.5786985,135.2951762,135.2672477,135.3718896,135.4191782
91.25000000000,136.0464820,135.8861593,141.5018030,138.6728131,138.4958900,141.4215238,141.6974137,138.7082808,137.4161951,135.6489288,141.7273548,141.5110766,139.6297171,140.1509551,140.9861126,140.9766257,141.0451961,141.4917832,141.6489012,139.3710998,139.0151894,139.0513163,141.9364015,142.0394979,141.9374226,141.5826427,141.4950720,136.9751765,136.8570089,135.9736904,135.4860962,134.6184942,137.7503357,136.5186449,136.4691470,139.9152911,135.9320237,136.9751765,137.1963124,137.0655493,137.0342213,137.2153130,136.9213388,136.4691470,137.0790022,135.3462299,135.5481981,137.5702131,135.2801445,135.2530839,135.3573479,135.4053653
121.6666666667,136.2621174,136.0598370,141.6352281,138.7306951,138.5647603,141.5457772,141.8347636,138.7906540,137.4424825,135.6984981,141.8578461,141.6408063,139.6668523,140.1946032,141.1035872,141.1007625,141.1477753,141.6004576,141.7695858,139.4088113,139.0497384,139.1558142,142.1026032,142.2037483,142.0913083,141.7248544,141.6314468,136.9963414,136.8753118,136.0021328,135.5062509,134.6469408,137.7827085,136.5541950,136.4899414,139.9511430,135.9645532,136.9963414,137.2324582,137.0889172,137.0568763,137.2386678,136.9558962,136.4899414,137.1002648,135.4002907,135.5996002,137.5957694,135.3273006,135.2973701,135.4025619,135.4479806
152.0833333333,136.5156374,136.2652833,141.7997502,138.8010949,138.6491778,141.6990416,142.0039328,138.8919969,137.4733043,135.7581083,142.0185385,141.8007643,139.7099229,140.2459924,141.2486935,141.2541527,141.2743331,141.7343500,141.9182699,139.4528266,139.0899792,139.2846569,142.3066989,142.4053318,142.2804516,141.9001335,141.7996058,137.0209909,136.8965285,136.0362964,135.5300943,134.6807503,137.8210266,136.5969399,136.5143412,139.9923229,136.0036522,137.0209909,137.2752960,137.1161601,137.0832955,137.2658495,136.9971903,136.5143412,137.1249827,135.4650855,135.6613373,137.6255514,135.3837750,135.3503763,135.4567296,135.4989771
182.5000000000,136.4066464,136.1826425,141.7452547,138.7806540,138.6242306,141.6489198,141.9470981,138.8614641,137.4634395,135.7372991,141.9647784,141.7479402,139.6963200,140.2301259,141.2024206,141.2048812,141.2344861,141.6909995,141.8691744,139.4391474,139.0773157,139.2444453,142.2352664,142.3345340,142.2150434,141.8413168,141.7437615,137.0118715,136.8889719,136.0247811,135.5217101,134.6684567,137.8094609,136.5824845,136.5059413,139.9790183,135.9905936,137.0118715,137.2591562,137.1059081,137.0734604,137.2560410,136.9825368,136.5059413,137.1161977,135.4415361,135.6395216,137.6154157,135.3634995,135.3314296,135.4375246,135.4811074
212.9166666667,136.2341956,136.0464513,141.6412696,138.7386821,138.5734212,141.5525376,141.8396864,138.7998844,137.4447294,135.6998292,141.8629596,141.6469808,139.6699387,140.1987970,141.1119664,141.1089711,141.1560746,141.6072421,141.7754505,139.4124064,139.0528657,139.1649569,142.1036955,142.2044821,142.0937081,141.7300174,141.6373558,136.9959691,136.8754830,136.0033970,135.5066581,134.6468485,137.7866293,136.5559652,136.4906564,139.9535200,135.9664319,136.9959691,137.2313317,137.0882083,137.0563789,137.2387330,136.9563931,136.4906564,137.1005425,135.4001537,135.6005243,137.5969394,135.3276269,135.2978257,135.4032955,135.4490235
243.3333333333,136.4334731,136.2020751,141.7540769,138.7841019,138.6282802,141.6569648,141.9564654,138.8663154,137.4656053,135.7416844,141.9736509,141.7564889,139.6990851,140.2331239,141.2096450,141.2125817,141.2407424,141.6979994,141.8772070,139.4419158,139.0799880,139.2508226,142.2475147,142.3467706,142.2261581,141.8509308,141.7528077,137.0139423,136.8906854,136.0270661,135.5235363,134.6711502,137.8118470,136.5854853,136.5077865,139.9817538,135.9932877,137.0139423,137.2626999,137.1082388,137.0756938,137.2582903,136.9856593,136.5077865,137.1182038,135.4466249,135.6441558,137.6177319,135.3678794,135.3355248,135.4416549,135.4849449
273.7500000000,136.3928424,136.1696012,141.7316794,138.7737095,138.6161145,141.6360446,141.9333890,138.8519779,137.4605999,135.7324404,141.9516625,141.7346785,139.6923873,140.2253495,141.1898454,141.1917241,141.2233046,141.6795604,141.8568090,139.4350420,139.0735845,139.2329301,142.2196935,142.3192137,142.2003297,141.8271109,141.7299413,137.0100421,136.8872981,136.0219178,135.5197907,134.6658758,137.8057172,136.5788204,136.5039121,139.9753652,135.9871963,137.0100421,137.2560851,137.1039483,137.0715200,137.2539223,136.9792467,136.5039121,137.1142271,135.4365790,135.6345833,137.6128680,135.3590851,135.3272547,135.4332039,135.4769703
