  days  vol_upper      vol_lower      vol_drain      vol_macro      del_vol_upper  del_vol_lower  del_vol_drain  del_vol_macro  rainfall       irrigation     drain_upper    macro_upper    drain_lower    overflow_lower total_rech     gw_withdrawal  net_recharge   runoff         pot_evap_upper evap_upper     pot_evap_lower evap_lower     gw_pot_evap    balance        elevation      depth-to-water 
     0  3.0000000E-02   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       138.4180       61.58200    
    31  2.9557170E-02   0.000000      1.2196316E-02   0.000000     -4.4283011E-04   0.000000      1.2196316E-02   0.000000      3.6700000E-02   0.000000      2.4503278E-02   0.000000       0.000000       0.000000      2.4503278E-02   0.000000      2.4503278E-02   0.000000      8.5000000E-03  4.4323621E-04   0.000000       0.000000      8.0567638E-03  2.4286129E-17   138.4042       61.59581    
    60  2.0521139E-02   0.000000      2.4978500E-03   0.000000     -9.0360305E-03   0.000000     -9.6984664E-03   0.000000      2.8500000E-02   0.000000      4.6831740E-02   0.000000       0.000000       0.000000      4.6831740E-02   0.000000      4.6831740E-02   0.000000      7.5000000E-03  4.0275675E-04   0.000000       0.000000      7.0972432E-03  5.2041704E-18   138.1241       61.87594    
    91  2.9372960E-02   0.000000      5.1604441E-03   0.000000      8.8518205E-03   0.000000      2.6625941E-03   0.000000      3.5400000E-02   0.000000      2.3125294E-02   0.000000       0.000000       0.000000      2.3125294E-02   0.000000      2.3125294E-02   0.000000      1.5700000E-02  7.6029116E-04   0.000000       0.000000      1.4939709E-02 -3.4694470E-18   138.3984       61.60156    
   121  3.2994869E-02   0.000000      1.2031795E-02   0.000000      3.6219095E-03   0.000000      6.8713512E-03   0.000000      6.5100000E-02   0.000000      5.2742722E-02   0.000000       0.000000       0.000000      5.2742722E-02   0.000000      5.2742722E-02   0.000000      3.1200000E-02  1.8640177E-03   0.000000       0.000000      2.9335982E-02 -6.9388939E-18   138.5116       61.48838    
   152  3.2414601E-02   0.000000      2.5588667E-02   0.000000     -5.8026875E-04   0.000000      1.3556871E-02   0.000000      9.1100000E-02   0.000000      7.4475527E-02   0.000000       0.000000       0.000000      7.4475527E-02   0.000000      7.4475527E-02   0.000000      6.3700000E-02  3.6478706E-03   0.000000       0.000000      6.0052129E-02 -1.3877788E-17   138.4935       61.50655    
   182  2.5419800E-02   0.000000      6.1006806E-03   0.000000     -6.9948008E-03   0.000000     -1.9487986E-02   0.000000      3.9400000E-02   0.000000      6.2274191E-02   0.000000       0.000000       0.000000      6.2274191E-02   0.000000      6.2274191E-02   0.000000      6.6400000E-02  3.6085956E-03   0.000000       0.000000      6.2791404E-02  6.9388939E-18   138.2755       61.72448    
   213  2.9096189E-02   0.000000      7.2539331E-03   0.000000      3.6763892E-03   0.000000      1.1532525E-03   0.000000      0.1110000       0.000000      0.1011053       0.000000       0.000000       0.000000      0.1011053       0.000000      0.1011053       0.000000      8.0400000E-02  5.0651007E-03   0.000000       0.000000      7.5334899E-02  1.9949320E-17   138.3898       61.61018    
   244  3.2002736E-02   0.000000      3.2165346E-02   0.000000      2.9065473E-03   0.000000      2.4911413E-02   0.000000      0.1204000       0.000000      8.7586032E-02   0.000000       0.000000       0.000000      8.7586032E-02   0.000000      8.7586032E-02   0.000000      7.4500000E-02  4.9960078E-03   0.000000       0.000000      6.9503992E-02 -3.4694470E-17   138.4806       61.51943    
   274  2.8783310E-02   0.000000      6.9989911E-03   0.000000     -3.2194262E-03   0.000000     -2.5166355E-02   0.000000      2.4800000E-02   0.000000      5.0943387E-02   0.000000       0.000000       0.000000      5.0943387E-02   0.000000      5.0943387E-02   0.000000      4.6800000E-02  2.2423946E-03   0.000000       0.000000      4.4557605E-02  1.7347235E-17   138.3801       61.61993    
   305  3.1148240E-02   0.000000      2.1912973E-03   0.000000      2.3649296E-03   0.000000     -4.8076938E-03   0.000000      1.7500000E-02   0.000000      1.9220759E-02   0.000000       0.000000       0.000000      1.9220759E-02   0.000000      1.9220759E-02   0.000000      1.7100000E-02  7.2200475E-04   0.000000       0.000000      1.6377995E-02  5.2041704E-18   138.4539       61.54615    
   335  2.3371011E-02   0.000000      5.5581143E-03   0.000000     -7.7772290E-03   0.000000      3.3668170E-03   0.000000      6.1000000E-02   0.000000      6.4572666E-02   0.000000       0.000000       0.000000      6.4572666E-02   0.000000      6.4572666E-02   0.000000      1.4000000E-02  8.3774650E-04   0.000000       0.000000      1.3162253E-02 -5.2041704E-18   138.2121       61.78795    
   366  2.1048287E-02   0.000000      2.8805665E-03   0.000000     -2.3227235E-03   0.000000     -2.6775478E-03   0.000000      2.0900000E-02   0.000000      2.5558660E-02   0.000000       0.000000       0.000000      2.5558660E-02   0.000000      2.5558660E-02   0.000000      7.1000000E-03  3.4161082E-04   0.000000       0.000000      6.7583892E-03  1.2576745E-17   138.1403       61.85969    
   397  2.1985279E-02   0.000000      2.1254429E-03   0.000000      9.3699203E-04   0.000000     -7.5512361E-04   0.000000      3.4000000E-02   0.000000      3.3519344E-02   0.000000       0.000000       0.000000      3.3519344E-02   0.000000      3.3519344E-02   0.000000      5.9000000E-03  2.9878742E-04   0.000000       0.000000      5.6012126E-03 -3.6862874E-18   138.1692       61.83077    
   425  3.6552618E-02   0.000000      1.2440501E-02   0.000000      1.4567339E-02   0.000000      1.0315058E-02   0.000000      4.4500000E-02   0.000000      1.9179827E-02   0.000000       0.000000       0.000000      1.9179827E-02   0.000000      1.9179827E-02   0.000000      8.8000000E-03  4.3777667E-04   0.000000       0.000000      8.3622233E-03  8.6736174E-18   138.6233       61.37670    
   456  3.2544670E-02   0.000000      4.2351517E-03   0.000000     -4.0079473E-03   0.000000     -8.2053492E-03   0.000000      3.6000000E-02   0.000000      4.7485205E-02   0.000000       0.000000       0.000000      4.7485205E-02   0.000000      4.7485205E-02   0.000000      1.3700000E-02  7.2809173E-04   0.000000       0.000000      1.2971908E-02   0.000000       138.4975       61.50248    
   486  2.4911369E-02   0.000000      7.5493378E-03   0.000000     -7.6333018E-03   0.000000      3.3141861E-03   0.000000      3.5600000E-02   0.000000      3.8719291E-02   0.000000       0.000000       0.000000      3.8719291E-02   0.000000      3.8719291E-02   0.000000      2.1800000E-02  1.1998245E-03   0.000000       0.000000      2.0600176E-02  6.9388939E-18   138.2598       61.74025    
   517  2.6289751E-02   0.000000      4.0906293E-03   0.000000      1.3783819E-03   0.000000     -3.4587085E-03   0.000000      2.9800000E-02   0.000000      2.9270766E-02   0.000000       0.000000       0.000000      2.9270766E-02   0.000000      2.9270766E-02   0.000000      5.3500000E-02  2.6095607E-03   0.000000       0.000000      5.0890439E-02 -4.3368087E-18   138.3025       61.69748    
   547  2.4810810E-02   0.000000      9.4448274E-03   0.000000     -1.4789408E-03   0.000000      5.3541981E-03   0.000000      6.8700000E-02   0.000000      6.0221017E-02   0.000000       0.000000       0.000000      6.0221017E-02   0.000000      6.0221017E-02   0.000000      7.5200000E-02  4.6037254E-03   0.000000       0.000000      7.0596275E-02  2.5153490E-17   138.2566       61.74336    
   578  3.1466275E-02   0.000000      1.8755746E-02   0.000000      6.6554655E-03   0.000000      9.3109184E-03   0.000000      7.2600000E-02   0.000000      5.2357502E-02   0.000000       0.000000       0.000000      5.2357502E-02   0.000000      5.2357502E-02   0.000000      7.1900000E-02  4.2761142E-03   0.000000       0.000000      6.7623886E-02  1.2143064E-17   138.4638       61.53621    
   609  2.8491750E-02   0.000000      5.8148671E-03   0.000000     -2.9745251E-03   0.000000     -1.2940879E-02   0.000000      0.1053000       0.000000      0.1160846       0.000000       0.000000       0.000000      0.1160846       0.000000      0.1160846       0.000000      7.6700000E-02  5.1308243E-03   0.000000       0.000000      7.1569176E-02 -3.4694470E-18   138.3710       61.62901    
   639  1.9574834E-02   0.000000      1.8743285E-03   0.000000     -8.9169161E-03   0.000000     -3.9405385E-03   0.000000      5.6400000E-02   0.000000      6.6389918E-02   0.000000       0.000000       0.000000      6.6389918E-02   0.000000      6.6389918E-02   0.000000      5.0200000E-02  2.8675370E-03   0.000000       0.000000      4.7332463E-02  1.5612511E-17   138.0949       61.90509    
