 point             x              y              z          zone  nugget  sill            a_hmax         a_hmin         a_vert        ang1      ang2      ang3
 PPC0000        426900.000    6654800.000        129.505       1   0.0    1.0                  26.485         26.485          8.520   0.0       0.0       0.0
 PPC0001        426900.000    6654825.000        130.062       1   0.0    1.0                  24.000         24.000          8.571   0.0       0.0       0.0
 PPC0002        426900.000    6654850.000        130.859       1   0.0    1.0                  24.000         24.000          8.494   0.0       0.0       0.0
 PPC0003        426900.000    6654875.000        131.712       1   0.0    1.0                  24.000         24.000          8.096   0.0       0.0       0.0
 PPC0004        426900.000    6654900.000        131.639       1   0.0    1.0                  26.485         26.485          6.582   0.0       0.0       0.0
 PPC0005        426925.000    6654775.000        129.384       1   0.0    1.0                  26.485         26.485          7.532   0.0       0.0       0.0
 PPC0006        426925.000    6654800.000        129.515       1   0.0    1.0                  24.000         24.000          6.760   0.0       0.0       0.0
 PPC0007        426925.000    6654825.000        130.589       1   0.0    1.0                  24.000         24.000          8.768   0.0       0.0       0.0
 PPC0008        426925.000    6654850.000        130.642       1   0.0    1.0                  24.000         24.000          6.666   0.0       0.0       0.0
 PPC0009        426925.000    6654875.000        131.536       1   0.0    1.0                  24.000         24.000          6.448   0.0       0.0       0.0
 PPC0010        426925.000    6654900.000        131.968       1   0.0    1.0                  24.000         24.000          5.919   0.0       0.0       0.0
 PPC0011        426925.000    6654925.000        131.055       1   0.0    1.0                  26.485         26.485          5.779   0.0       0.0       0.0
 PPC0012        426950.000    6654750.000        129.349       1   0.0    1.0                  26.485         26.485          7.505   0.0       0.0       0.0
 PPC0013        426950.000    6654775.000        129.313       1   0.0    1.0                  24.000         24.000          6.630   0.0       0.0       0.0
 PPC0014        426950.000    6654800.000        129.369       1   0.0    1.0                  24.000         24.000          6.715   0.0       0.0       0.0
 PPC0015        426950.000    6654825.000        130.856       1   0.0    1.0                  24.000         24.000          7.491   0.0       0.0       0.0
 PPC0016        426950.000    6654850.000        131.271       1   0.0    1.0                  24.000         24.000          7.147   0.0       0.0       0.0
 PPC0017        426950.000    6654875.000        131.659       1   0.0    1.0                  24.000         24.000          6.507   0.0       0.0       0.0
 PPC0018        426950.000    6654900.000        131.998       1   0.0    1.0                  24.000         24.000          6.010   0.0       0.0       0.0
 PPC0019        426950.000    6654925.000        130.951       1   0.0    1.0                  24.000         24.000          4.630   0.0       0.0       0.0
 PPC0020        426950.000    6654950.000        131.671       1   0.0    1.0                  26.485         26.485          5.462   0.0       0.0       0.0
 PPC0021        426975.000    6654725.000        129.540       1   0.0    1.0                  26.485         26.485          7.550   0.0       0.0       0.0
 PPC0022        426975.000    6654750.000        129.261       1   0.0    1.0                  24.000         24.000          6.594   0.0       0.0       0.0
 PPC0023        426975.000    6654775.000        129.251       1   0.0    1.0                  24.000         24.000          6.626   0.0       0.0       0.0
 PPC0024        426975.000    6654800.000        129.295       1   0.0    1.0                  24.000         24.000          6.713   0.0       0.0       0.0
 PPC0025        426975.000    6654825.000        131.032       1   0.0    1.0                  24.000         24.000          7.592   0.0       0.0       0.0
 PPC0026        426975.000    6654850.000        131.585       1   0.0    1.0                  24.000         24.000          7.167   0.0       0.0       0.0
 PPC0027        426975.000    6654875.000        131.879       1   0.0    1.0                  24.000         24.000          6.606   0.0       0.0       0.0
 PPC0028        426975.000    6654900.000        131.813       1   0.0    1.0                  24.000         24.000          5.839   0.0       0.0       0.0
 PPC0029        426975.000    6654925.000        131.150       1   0.0    1.0                  24.000         24.000          4.623   0.0       0.0       0.0
 PPC0030        426975.000    6654950.000        131.340       1   0.0    1.0                  24.000         24.000          4.143   0.0       0.0       0.0
 PPC0031        426975.000    6654975.000        131.750       1   0.0    1.0                  26.485         26.485          4.899   0.0       0.0       0.0
 PPC0032        427000.000    6654725.000        129.334       1   0.0    1.0                  24.000         24.000          8.383   0.0       0.0       0.0
 PPC0033        427000.000    6654750.000        129.271       1   0.0    1.0                  24.000         24.000          6.579   0.0       0.0       0.0
 PPC0034        427000.000    6654775.000        129.311       1   0.0    1.0                  24.000         24.000          6.696   0.0       0.0       0.0
 PPC0035        427000.000    6654800.000        129.340       1   0.0    1.0                  24.000         24.000          6.735   0.0       0.0       0.0
 PPC0036        427000.000    6654825.000        130.835       1   0.0    1.0                  24.000         24.000          7.527   0.0       0.0       0.0
 PPC0037        427000.000    6654850.000        131.758       1   0.0    1.0                  24.000         24.000          7.330   0.0       0.0       0.0
 PPC0038        427000.000    6654875.000        132.028       1   0.0    1.0                  24.000         24.000          6.685   0.0       0.0       0.0
 PPC0039        427000.000    6654900.000        132.174       1   0.0    1.0                  24.000         24.000          6.160   0.0       0.0       0.0
 PPC0040        427000.000    6654925.000        130.953       1   0.0    1.0                  24.000         24.000          4.643   0.0       0.0       0.0
 PPC0041        427000.000    6654950.000        131.451       1   0.0    1.0                  24.000         24.000          4.319   0.0       0.0       0.0
 PPC0042        427000.000    6654975.000        131.450       1   0.0    1.0                  24.000         24.000          4.067   0.0       0.0       0.0
 PPC0043        427000.000    6655000.000        132.088       1   0.0    1.0                  26.485         26.485          5.234   0.0       0.0       0.0
 PPC0044        427025.000    6654725.000        129.429       1   0.0    1.0                  24.000         24.000          8.480   0.0       0.0       0.0
 PPC0045        427025.000    6654750.000        129.303       1   0.0    1.0                  24.000         24.000          6.637   0.0       0.0       0.0
 PPC0046        427025.000    6654775.000        129.260       1   0.0    1.0                  24.000         24.000          6.665   0.0       0.0       0.0
 PPC0047        427025.000    6654800.000        129.347       1   0.0    1.0                  24.000         24.000          6.845   0.0       0.0       0.0
 PPC0048        427025.000    6654825.000        131.238       1   0.0    1.0                  24.000         24.000          7.919   0.0       0.0       0.0
 PPC0049        427025.000    6654850.000        131.606       1   0.0    1.0                  24.000         24.000          7.402   0.0       0.0       0.0
 PPC0050        427025.000    6654875.000        132.360       1   0.0    1.0                  24.000         24.000          7.039   0.0       0.0       0.0
 PPC0051        427025.000    6654900.000        132.229       1   0.0    1.0                  24.000         24.000          6.167   0.0       0.0       0.0
 PPC0052        427025.000    6654925.000        131.288       1   0.0    1.0                  24.000         24.000          5.022   0.0       0.0       0.0
 PPC0053        427025.000    6654950.000        131.452       1   0.0    1.0                  24.000         24.000          4.687   0.0       0.0       0.0
 PPC0054        427025.000    6654975.000        131.304       1   0.0    1.0                  24.000         24.000          4.379   0.0       0.0       0.0
 PPC0055        427025.000    6655000.000        132.353       1   0.0    1.0                  24.000         24.000          4.927   0.0       0.0       0.0
 PPC0056        427025.000    6655025.000        132.815       1   0.0    1.0                  26.485         26.485          5.863   0.0       0.0       0.0
 PPC0057        427050.000    6654725.000        129.614       1   0.0    1.0                  24.000         24.000          8.696   0.0       0.0       0.0
 PPC0058        427050.000    6654750.000        129.346       1   0.0    1.0                  24.000         24.000          6.682   0.0       0.0       0.0
 PPC0059        427050.000    6654775.000        129.194       1   0.0    1.0                  24.000         24.000          6.664   0.0       0.0       0.0
 PPC0060        427050.000    6654800.000        129.471       1   0.0    1.0                  24.000         24.000          7.002   0.0       0.0       0.0
 PPC0061        427050.000    6654825.000        131.526       1   0.0    1.0                  24.000         24.000          8.190   0.0       0.0       0.0
 PPC0062        427050.000    6654850.000        132.199       1   0.0    1.0                  24.000         24.000          7.852   0.0       0.0       0.0
 PPC0063        427050.000    6654875.000        132.432       1   0.0    1.0                  24.000         24.000          7.077   0.0       0.0       0.0
 PPC0064        427050.000    6654900.000        132.349       1   0.0    1.0                  24.000         24.000          6.368   0.0       0.0       0.0
 PPC0065        427050.000    6654925.000        131.718       1   0.0    1.0                  24.000         24.000          5.617   0.0       0.0       0.0
 PPC0066        427050.000    6654950.000        130.504       1   0.0    1.0                  24.000         24.000          4.550   0.0       0.0       0.0
 PPC0067        427050.000    6654975.000        131.888       1   0.0    1.0                  24.000         24.000          5.243   0.0       0.0       0.0
 PPC0068        427050.000    6655000.000        132.485       1   0.0    1.0                  24.000         24.000          5.321   0.0       0.0       0.0
 PPC0069        427050.000    6655025.000        132.947       1   0.0    1.0                  24.000         24.000          6.884   0.0       0.0       0.0
 PPC0070        427075.000    6654725.000        129.551       1   0.0    1.0                  24.000         24.000          8.435   0.0       0.0       0.0
 PPC0071        427075.000    6654750.000        129.210       1   0.0    1.0                  24.000         24.000          6.473   0.0       0.0       0.0
 PPC0072        427075.000    6654775.000        129.314       1   0.0    1.0                  24.000         24.000          6.625   0.0       0.0       0.0
 PPC0073        427075.000    6654800.000        129.505       1   0.0    1.0                  24.000         24.000          6.925   0.0       0.0       0.0
 PPC0074        427075.000    6654825.000        131.934       1   0.0    1.0                  24.000         24.000          8.323   0.0       0.0       0.0
 PPC0075        427075.000    6654850.000        132.552       1   0.0    1.0                  24.000         24.000          7.853   0.0       0.0       0.0
 PPC0076        427075.000    6654875.000        132.652       1   0.0    1.0                  24.000         24.000          7.173   0.0       0.0       0.0
 PPC0077        427075.000    6654900.000        132.608       1   0.0    1.0                  24.000         24.000          6.641   0.0       0.0       0.0
 PPC0078        427075.000    6654925.000        132.108       1   0.0    1.0                  24.000         24.000          6.037   0.0       0.0       0.0
 PPC0079        427075.000    6654950.000        130.586       1   0.0    1.0                  24.000         24.000          4.724   0.0       0.0       0.0
 PPC0080        427075.000    6654975.000        132.238       1   0.0    1.0                  24.000         24.000          5.790   0.0       0.0       0.0
 PPC0081        427075.000    6655000.000        133.001       1   0.0    1.0                  24.000         24.000          6.058   0.0       0.0       0.0
 PPC0082        427075.000    6655025.000        133.695       1   0.0    1.0                  24.000         24.000          7.897   0.0       0.0       0.0
 PPC0083        427100.000    6654725.000        130.159       1   0.0    1.0                  24.000         24.000          8.445   0.0       0.0       0.0
 PPC0084        427100.000    6654750.000        129.916       1   0.0    1.0                  24.000         24.000          6.605   0.0       0.0       0.0
 PPC0085        427100.000    6654775.000        129.588       1   0.0    1.0                  24.000         24.000          6.473   0.0       0.0       0.0
 PPC0086        427100.000    6654800.000        129.829       1   0.0    1.0                  24.000         24.000          6.776   0.0       0.0       0.0
 PPC0087        427100.000    6654825.000        132.104       1   0.0    1.0                  24.000         24.000          7.962   0.0       0.0       0.0
 PPC0088        427100.000    6654850.000        133.100       1   0.0    1.0                  24.000         24.000          7.940   0.0       0.0       0.0
 PPC0089        427100.000    6654875.000        132.874       1   0.0    1.0                  24.000         24.000          7.152   0.0       0.0       0.0
 PPC0090        427100.000    6654900.000        133.077       1   0.0    1.0                  24.000         24.000          6.797   0.0       0.0       0.0
 PPC0091        427100.000    6654925.000        132.743       1   0.0    1.0                  24.000         24.000          6.454   0.0       0.0       0.0
 PPC0092        427100.000    6654950.000        130.479       1   0.0    1.0                  24.000         24.000          4.853   0.0       0.0       0.0
 PPC0093        427100.000    6654975.000        133.102       1   0.0    1.0                  24.000         24.000          6.549   0.0       0.0       0.0
 PPC0094        427100.000    6655000.000        133.676       1   0.0    1.0                  24.000         24.000          6.505   0.0       0.0       0.0
 PPC0095        427100.000    6655025.000        134.105       1   0.0    1.0                  24.000         24.000          8.327   0.0       0.0       0.0
 PPC0096        427125.000    6654725.000        130.482       1   0.0    1.0                  24.000         24.000          8.078   0.0       0.0       0.0
 PPC0097        427125.000    6654750.000        130.293       1   0.0    1.0                  24.000         24.000          6.208   0.0       0.0       0.0
 PPC0098        427125.000    6654775.000        130.190       1   0.0    1.0                  24.000         24.000          6.323   0.0       0.0       0.0
 PPC0099        427125.000    6654800.000        130.558       1   0.0    1.0                  24.000         24.000          6.639   0.0       0.0       0.0
 PPC0100        427125.000    6654825.000        132.422       1   0.0    1.0                  24.000         24.000          7.581   0.0       0.0       0.0
 PPC0101        427125.000    6654850.000        133.559       1   0.0    1.0                  24.000         24.000          7.794   0.0       0.0       0.0
 PPC0102        427125.000    6654875.000        133.884       1   0.0    1.0                  24.000         24.000          7.404   0.0       0.0       0.0
 PPC0103        427125.000    6654900.000        133.485       1   0.0    1.0                  24.000         24.000          6.571   0.0       0.0       0.0
 PPC0104        427125.000    6654925.000        133.362       1   0.0    1.0                  24.000         24.000          6.461   0.0       0.0       0.0
 PPC0105        427125.000    6654950.000        131.121       1   0.0    1.0                  24.000         24.000          4.909   0.0       0.0       0.0
 PPC0106        427125.000    6654975.000        132.675       1   0.0    1.0                  24.000         24.000          5.947   0.0       0.0       0.0
 PPC0107        427125.000    6655000.000        133.758       1   0.0    1.0                  24.000         24.000          6.474   0.0       0.0       0.0
 PPC0108        427125.000    6655025.000        134.515       1   0.0    1.0                  24.000         24.000          8.665   0.0       0.0       0.0
 PPC0109        427150.000    6654725.000        130.595       1   0.0    1.0                  24.000         24.000          7.776   0.0       0.0       0.0
 PPC0110        427150.000    6654750.000        130.689       1   0.0    1.0                  24.000         24.000          5.992   0.0       0.0       0.0
 PPC0111        427150.000    6654775.000        130.914       1   0.0    1.0                  24.000         24.000          6.160   0.0       0.0       0.0
 PPC0112        427150.000    6654800.000        131.413       1   0.0    1.0                  24.000         24.000          6.503   0.0       0.0       0.0
 PPC0113        427150.000    6654825.000        132.271       1   0.0    1.0                  24.000         24.000          6.664   0.0       0.0       0.0
 PPC0114        427150.000    6654850.000        132.669       1   0.0    1.0                  24.000         24.000          6.727   0.0       0.0       0.0
 PPC0115        427150.000    6654875.000        133.581       1   0.0    1.0                  24.000         24.000          6.728   0.0       0.0       0.0
 PPC0116        427150.000    6654900.000        134.114       1   0.0    1.0                  24.000         24.000          6.662   0.0       0.0       0.0
 PPC0117        427150.000    6654925.000        133.721       1   0.0    1.0                  24.000         24.000          6.379   0.0       0.0       0.0
 PPC0118        427150.000    6654950.000        131.132       1   0.0    1.0                  24.000         24.000          4.615   0.0       0.0       0.0
 PPC0119        427150.000    6654975.000        133.282       1   0.0    1.0                  24.000         24.000          6.107   0.0       0.0       0.0
 PPC0120        427150.000    6655000.000        133.807       1   0.0    1.0                  24.000         24.000          6.261   0.0       0.0       0.0
 PPC0121        427150.000    6655025.000        135.350       1   0.0    1.0                  24.000         24.000          9.105   0.0       0.0       0.0
 PPC0122        427175.000    6654725.000        132.355       1   0.0    1.0                  24.000         24.000          9.189   0.0       0.0       0.0
 PPC0123        427175.000    6654750.000        131.205       1   0.0    1.0                  24.000         24.000          6.159   0.0       0.0       0.0
 PPC0124        427175.000    6654775.000        131.152       1   0.0    1.0                  24.000         24.000          5.870   0.0       0.0       0.0
 PPC0125        427175.000    6654800.000        131.217       1   0.0    1.0                  24.000         24.000          5.851   0.0       0.0       0.0
 PPC0126        427175.000    6654825.000        132.123       1   0.0    1.0                  24.000         24.000          6.347   0.0       0.0       0.0
 PPC0127        427175.000    6654850.000        134.449       1   0.0    1.0                  24.000         24.000          7.552   0.0       0.0       0.0
 PPC0128        427175.000    6654875.000        135.735       1   0.0    1.0                  24.000         24.000          7.706   0.0       0.0       0.0
 PPC0129        427175.000    6654900.000        136.274       1   0.0    1.0                  24.000         24.000          7.702   0.0       0.0       0.0
 PPC0130        427175.000    6654925.000        134.859       1   0.0    1.0                  24.000         24.000          7.134   0.0       0.0       0.0
 PPC0131        427175.000    6654950.000        131.352       1   0.0    1.0                  24.000         24.000          4.358   0.0       0.0       0.0
 PPC0132        427175.000    6654975.000        132.149       1   0.0    1.0                  24.000         24.000          5.211   0.0       0.0       0.0
 PPC0133        427175.000    6655000.000        134.877       1   0.0    1.0                  24.000         24.000          6.861   0.0       0.0       0.0
 PPC0134        427175.000    6655025.000        135.420       1   0.0    1.0                  24.000         24.000          6.752   0.0       0.0       0.0
 PPC0135        427175.000    6655050.000        136.403       1   0.0    1.0                  26.485         26.485          8.194   0.0       0.0       0.0
 PPC0136        427200.000    6654725.000        133.427       1   0.0    1.0                  24.000         24.000          9.858   0.0       0.0       0.0
 PPC0137        427200.000    6654750.000        131.455       1   0.0    1.0                  24.000         24.000          6.336   0.0       0.0       0.0
 PPC0138        427200.000    6654775.000        131.240       1   0.0    1.0                  24.000         24.000          5.916   0.0       0.0       0.0
 PPC0139        427200.000    6654800.000        131.638       1   0.0    1.0                  24.000         24.000          6.058   0.0       0.0       0.0
 PPC0140        427200.000    6654825.000        132.394       1   0.0    1.0                  24.000         24.000          6.218   0.0       0.0       0.0
 PPC0141        427200.000    6654850.000        134.826       1   0.0    1.0                  24.000         24.000          7.268   0.0       0.0       0.0
 PPC0142        427200.000    6654875.000        136.567       1   0.0    1.0                  24.000         24.000          7.591   0.0       0.0       0.0
 PPC0143        427200.000    6654900.000        136.663       1   0.0    1.0                  24.000         24.000          7.879   0.0       0.0       0.0
 PPC0144        427200.000    6654925.000        132.832       1   0.0    1.0                  24.000         24.000          5.115   0.0       0.0       0.0
 PPC0145        427200.000    6654950.000        131.853       1   0.0    1.0                  24.000         24.000          4.359   0.0       0.0       0.0
 PPC0146        427200.000    6654975.000        134.977       1   0.0    1.0                  24.000         24.000          6.897   0.0       0.0       0.0
