 
Data and dependencies for CLIST "cl_mf" --->
 
Index      Int_ID                 X-coord         Y-coord         idomain1              idomain2              idomain3              prop_mf
1          1                      426895.944      6654902.550     1                     1                     1                     49.99999
2          2                      426903.015      6654909.620     1                     1                     1                     49.99997
3          3                      426910.086      6654916.690     1                     1                     1                     50.00001
4          4                      426917.157      6654923.760     1                     1                     1                     50.00000
5          5                      426920.693      6654930.830     1                     1                     1                     50.00000
6          6                      426924.228      6654934.370     1                     1                     1                     49.99999
7          7                      426924.228      6654927.300     1                     1                     1                     50.00001
8          8                      426927.764      6654930.830     1                     1                     1                     49.99999
9          9                      426931.299      6654937.900     1                     1                     1                     50.00001
10         10                     426938.370      6654944.970     1                     1                     1                     49.99998
11         11                     426945.442      6654952.050     1                     1                     1                     49.99999
12         12                     426952.513      6654959.120     1                     1                     1                     50.00001
13         13                     426959.584      6654966.190     1                     1                     1                     49.99998
14         14                     426966.655      6654973.260     1                     1                     1                     50.00001
15         15                     426973.726      6654980.330     1                     1                     1                     50.00000
16         16                     426980.797      6654987.400     1                     1                     1                     49.99998
17         17                     426987.868      6654994.470     1                     1                     1                     50.00001
18         18                     426994.939      6655001.540     1                     1                     1                     50.00000
19         19                     427002.010      6655008.610     1                     1                     1                     50.00001
20         20                     427009.081      6655015.690     1                     1                     1                     50.00001
21         21                     427016.152      6655022.760     1                     1                     1                     50.00000
22         22                     427023.223      6655029.830     1                     1                     1                     50.00000
23         23                     427030.294      6655036.900     1                     1                     1                     50.00000
24         24                     426895.944      6654888.410     1                     1                     1                     50.00001
25         25                     426903.015      6654895.480     1                     1                     1                     50.00001
26         26                     426910.086      6654902.550     1                     1                     1                     49.99998
27         27                     426917.157      6654909.620     1                     1                     1                     49.99999
28         28                     426924.228      6654916.690     1                     1                     1                     50.00000
29         29                     426927.764      6654923.760     1                     1                     1                     50.00000
30         30                     426931.299      6654927.300     1                     1                     1                     49.99998
31         31                     426931.299      6654920.230     1                     1                     1                     50.00000
32         32                     426934.835      6654923.760     1                     1                     1                     50.00003
33         33                     426934.835      6654930.830     1                     1                     1                     49.99999
34         34                     426938.370      6654934.370     1                     1                     1                     50.00000
35         35                     426938.370      6654927.300     1                     1                     1                     49.99999
36         36                     426941.906      6654930.830     1                     1                     1                     50.00002
37         37                     426945.442      6654937.900     1                     1                     1                     50.00001
38         38                     426952.513      6654944.970     1                     1                     1                     50.00002
39         39                     426959.584      6654952.050     1                     1                     1                     49.99999
40         40                     426966.655      6654959.120     1                     1                     1                     50.00000
41         41                     426973.726      6654966.190     1                     1                     1                     50.00000
42         42                     426980.797      6654973.260     1                     1                     1                     50.00001
43         43                     426987.868      6654980.330     1                     1                     1                     50.00000
44         44                     426994.939      6654987.400     1                     1                     1                     49.99998
45         45                     427002.010      6654994.470     1                     1                     1                     49.99999
46         46                     427009.081      6655001.540     1                     1                     1                     49.99999
47         47                     427016.152      6655008.610     1                     1                     1                     50.00001
48         48                     427023.223      6655015.690     1                     1                     1                     50.00000
