time,GAGE-1,GAGE-2
0.000000000000,24637.95517,26499.50544
30.41666666667,25169.68806,27070.64488
60.83333333333,24058.94988,25875.53832
91.25000000000,23431.40261,25202.63952
121.6666666667,25451.25425,27375.55202
152.0833333333,27893.18674,30000.74900
182.5000000000,26985.22335,29020.18897
212.9166666667,25421.04575,27335.73848
243.3333333333,27186.13570,29237.92523
273.7500000000,26803.46078,28826.24488
304.1666666667,24273.81319,26107.42955
334.5833333333,24286.83664,26121.27751
365.0000000000,23614.64104,25398.96447
395.4166666667,22612.68362,24321.17064
425.8333333333,24571.62756,26431.49146
456.2500000000,25994.88927,27959.91995
486.6666666667,24756.02771,26626.03723
517.0833333333,23983.92146,25796.45920
547.5000000000,24349.27952,26188.40119
577.9166666667,25884.87056,27840.98363
608.3333333333,26601.84280,28606.74966
638.7500000000,24546.81327,26397.38500
669.1666666667,23832.30257,25630.04801
699.5833333333,25266.48436,27176.21252
730.0000000000,26550.85451,28557.12505
760.4166666667,27153.19519,29203.60101
790.8333333333,25199.72687,27101.94920
821.2500000000,22258.72847,23939.51479
851.6666666667,23164.01240,24915.83079
882.0833333333,23079.30323,24823.56418
912.5000000000,22795.48930,24517.31608
942.9166666667,25490.22687,27419.87225
973.3333333333,26770.15398,28792.41450
1003.750000000,25852.69568,27803.06430
1034.166666667,26054.26136,28022.95322
1064.583333333,25588.91126,27521.30805
1095.000000000,23554.08313,25330.99652
1125.416666667,23026.03317,24766.25259
1155.833333333,23156.86132,24906.46801
1186.250000000,23711.33374,25502.71779
1216.666666667,22427.84094,24122.92103
1247.083333333,24925.26651,26810.90657
1277.500000000,26475.67686,28473.00876
1307.916666667,24839.21712,26712.93814
1338.333333333,26271.13468,28253.16664
1368.750000000,26939.27948,28969.82693
1399.166666667,25895.92863,27848.45706
1429.583333333,25797.78458,27746.30496
1460.000000000,26096.36559,28064.55019
